"GEO_ID","NAME","B16005_001E","B16005_001M","B16005_002E","B16005_002M","B16005_003E","B16005_003M","B16005_004E","B16005_004M","B16005_005E","B16005_005M","B16005_006E","B16005_006M","B16005_007E","B16005_007M","B16005_008E","B16005_008M","B16005_009E","B16005_009M","B16005_010E","B16005_010M","B16005_011E","B16005_011M","B16005_012E","B16005_012M","B16005_013E","B16005_013M","B16005_014E","B16005_014M","B16005_015E","B16005_015M","B16005_016E","B16005_016M","B16005_017E","B16005_017M","B16005_018E","B16005_018M","B16005_019E","B16005_019M","B16005_020E","B16005_020M","B16005_021E","B16005_021M","B16005_022E","B16005_022M","B16005_023E","B16005_023M","B16005_024E","B16005_024M","B16005_025E","B16005_025M","B16005_026E","B16005_026M","B16005_027E","B16005_027M","B16005_028E","B16005_028M","B16005_029E","B16005_029M","B16005_030E","B16005_030M","B16005_031E","B16005_031M","B16005_032E","B16005_032M","B16005_033E","B16005_033M","B16005_034E","B16005_034M","B16005_035E","B16005_035M","B16005_036E","B16005_036M","B16005_037E","B16005_037M","B16005_038E","B16005_038M","B16005_039E","B16005_039M","B16005_040E","B16005_040M","B16005_041E","B16005_041M","B16005_042E","B16005_042M","B16005_043E","B16005_043M","B16005_044E","B16005_044M","B16005_045E","B16005_045M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Native!!Speak only English","Margin of Error!!Total!!Native!!Speak only English","Estimate!!Total!!Native!!Speak Spanish","Margin of Error!!Total!!Native!!Speak Spanish","Estimate!!Total!!Native!!Speak Spanish!!Speak English "very well"","Margin of Error!!Total!!Native!!Speak Spanish!!Speak English "very well"","Estimate!!Total!!Native!!Speak Spanish!!Speak English "well"","Margin of Error!!Total!!Native!!Speak Spanish!!Speak English "well"","Estimate!!Total!!Native!!Speak Spanish!!Speak English "not well"","Margin of Error!!Total!!Native!!Speak Spanish!!Speak English "not well"","Estimate!!Total!!Native!!Speak Spanish!!Speak English "not at all"","Margin of Error!!Total!!Native!!Speak Spanish!!Speak English "not at all"","Estimate!!Total!!Native!!Speak other Indo-European languages","Margin of Error!!Total!!Native!!Speak other Indo-European languages","Estimate!!Total!!Native!!Speak other Indo-European languages!!Speak English "very well"","Margin of Error!!Total!!Native!!Speak other Indo-European languages!!Speak English "very well"","Estimate!!Total!!Native!!Speak other Indo-European languages!!Speak English "well"","Margin of Error!!Total!!Native!!Speak other Indo-European languages!!Speak English "well"","Estimate!!Total!!Native!!Speak other Indo-European languages!!Speak English "not well"","Margin of Error!!Total!!Native!!Speak other Indo-European languages!!Speak English "not well"","Estimate!!Total!!Native!!Speak other Indo-European languages!!Speak English "not at all"","Margin of Error!!Total!!Native!!Speak other Indo-European languages!!Speak English "not at all"","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "very well"","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "very well"","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "well"","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "well"","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "not well"","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "not well"","Estimate!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "not at all"","Margin of Error!!Total!!Native!!Speak Asian and Pacific Island languages!!Speak English "not at all"","Estimate!!Total!!Native!!Speak other languages","Margin of Error!!Total!!Native!!Speak other languages","Estimate!!Total!!Native!!Speak other languages!!Speak English "very well"","Margin of Error!!Total!!Native!!Speak other languages!!Speak English "very well"","Estimate!!Total!!Native!!Speak other languages!!Speak English "well"","Margin of Error!!Total!!Native!!Speak other languages!!Speak English "well"","Estimate!!Total!!Native!!Speak other languages!!Speak English "not well"","Margin of Error!!Total!!Native!!Speak other languages!!Speak English "not well"","Estimate!!Total!!Native!!Speak other languages!!Speak English "not at all"","Margin of Error!!Total!!Native!!Speak other languages!!Speak English "not at all"","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Speak only English","Margin of Error!!Total!!Foreign born!!Speak only English","Estimate!!Total!!Foreign born!!Speak Spanish","Margin of Error!!Total!!Foreign born!!Speak Spanish","Estimate!!Total!!Foreign born!!Speak Spanish!!Speak English "very well"","Margin of Error!!Total!!Foreign born!!Speak Spanish!!Speak English "very well"","Estimate!!Total!!Foreign born!!Speak Spanish!!Speak English "well"","Margin of Error!!Total!!Foreign born!!Speak Spanish!!Speak English "well"","Estimate!!Total!!Foreign born!!Speak Spanish!!Speak English "not well"","Margin of Error!!Total!!Foreign born!!Speak Spanish!!Speak English "not well"","Estimate!!Total!!Foreign born!!Speak Spanish!!Speak English "not at all"","Margin of Error!!Total!!Foreign born!!Speak Spanish!!Speak English "not at all"","Estimate!!Total!!Foreign born!!Speak other Indo-European languages","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages","Estimate!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "very well"","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "very well"","Estimate!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "well"","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "well"","Estimate!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "not well"","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "not well"","Estimate!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "not at all"","Margin of Error!!Total!!Foreign born!!Speak other Indo-European languages!!Speak English "not at all"","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "very well"","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "very well"","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "well"","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "well"","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "not well"","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "not well"","Estimate!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "not at all"","Margin of Error!!Total!!Foreign born!!Speak Asian and Pacific Island languages!!Speak English "not at all"","Estimate!!Total!!Foreign born!!Speak other languages","Margin of Error!!Total!!Foreign born!!Speak other languages","Estimate!!Total!!Foreign born!!Speak other languages!!Speak English "very well"","Margin of Error!!Total!!Foreign born!!Speak other languages!!Speak English "very well"","Estimate!!Total!!Foreign born!!Speak other languages!!Speak English "well"","Margin of Error!!Total!!Foreign born!!Speak other languages!!Speak English "well"","Estimate!!Total!!Foreign born!!Speak other languages!!Speak English "not well"","Margin of Error!!Total!!Foreign born!!Speak other languages!!Speak English "not well"","Estimate!!Total!!Foreign born!!Speak other languages!!Speak English "not at all"","Margin of Error!!Total!!Foreign born!!Speak other languages!!Speak English "not at all""
"1400000US16027020100","Census Tract 201, Canyon County, Idaho","1047","141","1007","140","974","144","30","31","30","31","0","11","0","11","0","11","3","5","3","5","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","40","34","14","19","23","27","0","11","9","14","14","23","0","11","3","6","0","11","0","11","3","6","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US16027020200","Census Tract 202, Canyon County, Idaho","3578","419","2989","406","2087","364","875","221","741","213","39","35","95","59","0","11","27","29","27","29","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","589","190","22","33","567","192","166","78","117","72","189","92","95","77","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US16027020300","Census Tract 203, Canyon County, Idaho","3868","467","3514","409","3016","392","431","255","377","250","50","72","4","7","0","11","67","59","58","56","9","14","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","354","168","10","19","282","155","69","93","112","72","94","65","7","12","23","38","10","19","8","17","5","9","0","11","39","64","39","64","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US16027020401","Census Tract 204.01, Canyon County, Idaho","8379","693","7160","626","5989","655","1084","304","1018","300","32","49","34","31","0","16","72","67","45","54","27","43","0","16","0","16","15","25","15","25","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","1219","510","72","69","1038","469","515","318","74","78","205","112","244","129","109","144","47","48","0","16","62","100","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16"
"1400000US16027020402","Census Tract 204.02, Canyon County, Idaho","5054","386","4868","388","4367","409","491","265","310","173","143","94","38","58","0","16","10","16","10","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","186","126","88","71","52","83","0","16","0","16","0","16","52","83","11","18","11","18","0","16","0","16","0","16","28","35","28","35","0","16","0","16","0","16","7","15","0","16","7","15","0","16","0","16"
"1400000US16027020501","Census Tract 205.01, Canyon County, Idaho","3343","321","3073","298","2682","307","391","156","367","149","24","48","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","270","159","0","11","260","159","24","36","195","168","41","53","0","11","10","17","0","11","0","11","10","17","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US16027020503","Census Tract 205.03, Canyon County, Idaho","2938","429","2864","429","2452","455","364","173","235","75","129","136","0","11","0","11","25","42","25","42","0","11","0","11","0","11","14","28","14","28","0","11","0","11","0","11","9","17","9","17","0","11","0","11","0","11","74","71","14","22","60","67","9","16","36","43","15","27","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US16027020504","Census Tract 205.04, Canyon County, Idaho","5676","455","5433","474","5006","538","407","179","337","169","12","24","47","54","11","20","20","32","20","32","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","243","106","46","38","188","106","10","17","82","79","96","70","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","9","19","0","16","9","19","0","16","0","16"
"1400000US16027020601","Census Tract 206.01, Canyon County, Idaho","4616","395","4103","438","3434","430","659","307","591","278","0","16","68","113","0","16","10","16","10","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","0","16","513","229","29","33","359","178","136","88","86","94","69","62","68","77","0","16","0","16","0","16","0","16","0","16","125","131","6","11","24","37","57","70","38","55","0","16","0","16","0","16","0","16","0","16"
