"GEO_ID","id",
"NAME","Geographic Area Name",
"S2701_C01_001E","Total!!Estimate!!Civilian noninstitutionalized population",
"S2701_C01_001M","Total!!Margin of Error!!Civilian noninstitutionalized population",
"S2701_C01_002E","Total!!Estimate!!AGE!!Under 18 years",
"S2701_C01_002M","Total!!Margin of Error!!AGE!!Under 18 years",
"S2701_C01_003E","Total!!Estimate!!AGE!!Under 18 years!!Under 6 years",
"S2701_C01_003M","Total!!Margin of Error!!AGE!!Under 18 years!!Under 6 years",
"S2701_C01_004E","Total!!Estimate!!AGE!!Under 18 years!!6 to 17 years",
"S2701_C01_004M","Total!!Margin of Error!!AGE!!Under 18 years!!6 to 17 years",
"S2701_C01_005E","Total!!Estimate!!AGE!!18 to 64 years",
"S2701_C01_005M","Total!!Margin of Error!!AGE!!18 to 64 years",
"S2701_C01_006E","Total!!Estimate!!AGE!!18 to 64 years!!18 to 24 years",
"S2701_C01_006M","Total!!Margin of Error!!AGE!!18 to 64 years!!18 to 24 years",
"S2701_C01_007E","Total!!Estimate!!AGE!!18 to 64 years!!25 to 34 years",
"S2701_C01_007M","Total!!Margin of Error!!AGE!!18 to 64 years!!25 to 34 years",
"S2701_C01_008E","Total!!Estimate!!AGE!!18 to 64 years!!35 to 44 years",
"S2701_C01_008M","Total!!Margin of Error!!AGE!!18 to 64 years!!35 to 44 years",
"S2701_C01_009E","Total!!Estimate!!AGE!!18 to 64 years!!45 to 54 years",
"S2701_C01_009M","Total!!Margin of Error!!AGE!!18 to 64 years!!45 to 54 years",
"S2701_C01_010E","Total!!Estimate!!AGE!!18 to 64 years!!55 to 64 years",
"S2701_C01_010M","Total!!Margin of Error!!AGE!!18 to 64 years!!55 to 64 years",
"S2701_C01_011E","Total!!Estimate!!AGE!!65 years and older",
"S2701_C01_011M","Total!!Margin of Error!!AGE!!65 years and older",
"S2701_C01_012E","Total!!Estimate!!AGE!!65 years and older!!65 to 74 years",
"S2701_C01_012M","Total!!Margin of Error!!AGE!!65 years and older!!65 to 74 years",
"S2701_C01_013E","Total!!Estimate!!AGE!!65 years and older!!75 years and older",
"S2701_C01_013M","Total!!Margin of Error!!AGE!!65 years and older!!75 years and older",
"S2701_C01_014E","Total!!Estimate!!19 to 25 years",
"S2701_C01_014M","Total!!Margin of Error!!19 to 25 years",
"S2701_C01_015E","Total!!Estimate!!SEX!!Male",
"S2701_C01_015M","Total!!Margin of Error!!SEX!!Male",
"S2701_C01_016E","Total!!Estimate!!SEX!!Female",
"S2701_C01_016M","Total!!Margin of Error!!SEX!!Female",
"S2701_C01_017E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone",
"S2701_C01_017M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone",
"S2701_C01_018E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone",
"S2701_C01_018M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone",
"S2701_C01_019E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone",
"S2701_C01_019M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone",
"S2701_C01_020E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone",
"S2701_C01_020M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone",
"S2701_C01_021E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone",
"S2701_C01_021M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone",
"S2701_C01_022E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone",
"S2701_C01_022M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone",
"S2701_C01_023E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S2701_C01_023M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races",
"S2701_C01_024E","Total!!Estimate!!Hispanic or Latino (of any race)",
"S2701_C01_024M","Total!!Margin of Error!!Hispanic or Latino (of any race)",
"S2701_C01_025E","Total!!Estimate!!White alone, not Hispanic or Latino",
"S2701_C01_025M","Total!!Margin of Error!!White alone, not Hispanic or Latino",
"S2701_C01_026E","Total!!Estimate!!LIVING ARRANGEMENTS!!In family households",
"S2701_C01_026M","Total!!Margin of Error!!LIVING ARRANGEMENTS!!In family households",
