School District,GEOID,County,AP classes,AP ZSCORE,Gifted Education,Gifted ZSCORE,Dual enrollment,Dual ZSCORE,IB classes,IB ZSCORE,Calculus 1,STEM 1 ZSCORE,Chemistry,STEM2 ZSCORE,Physics,STEM3 ZSCORE,INDEXoverall,INDEX_Overall
Adrian,4101020,Malheur,0,-0.515461427,0,-1.115113564,1,0.378785244,0,-0.301823307,1,0.515461427,0,-1.646251781,0,-1.646251781,-0.618665027,5
Annex,4101350,Malheur,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Arock,4101500,Malheur,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Caldwell District,1600510,Canyon,1,1.855661138,1,0.857779665,0,-2.525234958,0,-0.301823307,1,0.515461427,1,0.58103004,1,0.58103004,0.223414864,3
Cambridge Joint District,1600570,Washington,0,-0.515461427,0,-1.115113564,1,0.378785244,0,-0.301823307,0,-1.855661138,1,0.58103004,1,0.58103004,-0.321030587,4
Canyon-Owyhee School Service Agency (COSSA),1600152,Canyon,0,-0.515461427,0,-1.115113564,1,0.378785244,0,-0.301823307,0,-1.855661138,0,-1.646251781,0,-1.646251781,-0.957396822,5
Fruitland District,1601140,Payette,1,1.855661138,1,0.857779665,1,0.378785244,0,-0.301823307,1,0.515461427,0,-1.646251781,1,0.58103004,0.320091775,1
Harper,4106120,Malheur,0,-0.515461427,0,-1.115113564,1,0.378785244,0,-0.301823307,0,-1.855661138,0,-1.646251781,0,-1.646251781,-0.957396822,5
Heritage Community Charter District,1600161,Canyon,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jordan Valley,4106820,Malheur,0,-0.515461427,1,0.857779665,1,0.378785244,0,-0.301823307,0,-1.855661138,1,0.58103004,0,-1.646251781,-0.357371815,4
Juntura,4106960,Malheur,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Legacy Charter School District,1600158,Canyon,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Liberty Charter,1600012,Canyon,0,-0.515461427,0,-1.115113564,1,0.378785244,0,-0.301823307,1,0.515461427,1,0.58103004,1,0.58103004,0.017701208,3
Melba Joint District,1602070,Canyon,0,-0.515461427,0,-1.115113564,1,0.378785244,0,-0.301823307,1,0.515461427,1,0.58103004,1,0.58103004,0.017701208,3
Middleton District,1602130,Canyon,1,1.855661138,1,0.857779665,1,0.378785244,0,-0.301823307,1,0.515461427,1,0.58103004,1,0.58103004,0.638274893,1
Midvale District,1602160,Washington,0,-0.515461427,1,0.857779665,1,0.378785244,0,-0.301823307,1,0.515461427,0,-1.646251781,1,0.58103004,-0.01864002,4
Nampa School District,1602340,Canyon,1,1.855661138,0,-1.115113564,1,0.378785244,1,3.169144721,1,0.515461427,1,0.58103004,1,0.58103004,0.852285578,1
Notus District,1602460,Canyon,0,-0.515461427,1,0.857779665,1,0.378785244,0,-0.301823307,1,0.515461427,0,-1.646251781,1,0.58103004,-0.01864002,4
Nyssa,4109000,Malheur,0,-0.515461427,1,0.857779665,1,0.378785244,0,-0.301823307,1,0.515461427,1,0.58103004,1,0.58103004,0.299543098,2
Ontario,4109270,Malheur,0,-0.515461427,1,0.857779665,1,0.378785244,0,-0.301823307,1,0.515461427,1,0.58103004,1,0.58103004,0.299543098,2
Parma District,1602550,Canyon,0,-0.515461427,1,0.857779665,1,0.378785244,0,-0.301823307,1,0.515461427,1,0.58103004,1,0.58103004,0.299543098,2
Payette Joint District,1602580,Payette,0,-0.515461427,1,0.857779665,1,0.378785244,0,-0.301823307,1,0.515461427,1,0.58103004,1,0.58103004,0.299543098,2
Vale,4100014,Malheur,0,-0.515461427,0,-1.115113564,0,-2.525234958,0,-0.301823307,1,0.515461427,1,0.58103004,1,0.58103004,-0.397158821,5
Vallivue School District,1600600,Canyon,1,1.855661138,1,0.857779665,1,0.378785244,0,-0.301823307,1,0.515461427,1,0.58103004,1,0.58103004,0.638274893,1
Victory Charter School,1600003,Canyon,0,-0.515461427,0,-1.115113564,1,0.378785244,0,-0.301823307,1,0.515461427,1,0.58103004,1,0.58103004,0.017701208,3
Vision Charter School,1600141,Canyon,0,-0.515461427,1,0.857779665,1,0.378785244,0,-0.301823307,1,0.515461427,1,0.58103004,0,-1.646251781,-0.01864002,4
Weiser District,1603330,Washington,0,-0.515461427,0,-1.115113564,1,0.378785244,1,3.169144721,1,0.515461427,1,0.58103004,1,0.58103004,0.513553783,1
Wilder District,1603480,Canyon,0,-0.515461427,1,0.857779665,0,-2.525234958,0,-0.301823307,0,-1.855661138,1,0.58103004,0,-1.646251781,-0.772231844,5
