School District,GEOID,County,AP ZSCORE,Gifted ZSCORE,Dual ZSCORE,IB ZSCORE,STEM 1 ZSCORE,STEM2 ZSCORE,STEM3 ZSCORE,INDEX1,,,INDEX
Canyon-Owyhee School Service Agency (COSSA),1600152,Canyon,-0.515461427,-1.115113564,0.378785244,-0.301823307,-1.855661138,-1.646251781,-1.646251781,-0.96,0.96,1,5
Harper,4106120,Malheur,-0.515461427,-1.115113564,0.378785244,-0.301823307,-1.855661138,-1.646251781,-1.646251781,-0.96,0.96,1,5
Wilder District,1603480,Canyon,-0.515461427,0.857779665,-2.525234958,-0.301823307,-1.855661138,0.58103004,-1.646251781,-0.77,0.77,1,5
Adrian,4101020,Malheur,-0.515461427,-1.115113564,0.378785244,-0.301823307,0.515461427,-1.646251781,-1.646251781,-0.62,0.62,1,5
Vale,4100014,Malheur,-0.515461427,-1.115113564,-2.525234958,-0.301823307,0.515461427,0.58103004,0.58103004,-0.4,0.4,1,5
Jordan Valley,4106820,Malheur,-0.515461427,0.857779665,0.378785244,-0.301823307,-1.855661138,0.58103004,-1.646251781,-0.36,0.36,2,4
Cambridge Joint District,1600570,Washington,-0.515461427,-1.115113564,0.378785244,-0.301823307,-1.855661138,0.58103004,0.58103004,-0.32,0.32,2,4
Midvale District,1602160,Washington,-0.515461427,0.857779665,0.378785244,-0.301823307,0.515461427,-1.646251781,0.58103004,-0.02,0.02,3,4
Notus District,1602460,Canyon,-0.515461427,0.857779665,0.378785244,-0.301823307,0.515461427,-1.646251781,0.58103004,-0.02,0.02,3,4
Vision Charter School,1600141,Canyon,-0.515461427,0.857779665,0.378785244,-0.301823307,0.515461427,0.58103004,-1.646251781,-0.02,0.02,3,4
Liberty Charter,1600012,Canyon,-0.515461427,-1.115113564,0.378785244,-0.301823307,0.515461427,0.58103004,0.58103004,0.02,-0.02,3,3
Melba Joint District,1602070,Canyon,-0.515461427,-1.115113564,0.378785244,-0.301823307,0.515461427,0.58103004,0.58103004,0.02,-0.02,3,3
Victory Charter School,1600003,Canyon,-0.515461427,-1.115113564,0.378785244,-0.301823307,0.515461427,0.58103004,0.58103004,0.02,-0.02,3,3
Caldwell District,1600510,Canyon,1.855661138,0.857779665,-2.525234958,-0.301823307,0.515461427,0.58103004,0.58103004,0.22,-0.22,3,3
Nyssa,4109000,Malheur,-0.515461427,0.857779665,0.378785244,-0.301823307,0.515461427,0.58103004,0.58103004,0.3,-0.3,4,2
Ontario,4109270,Malheur,-0.515461427,0.857779665,0.378785244,-0.301823307,0.515461427,0.58103004,0.58103004,0.3,-0.3,4,2
Parma District,1602550,Canyon,-0.515461427,0.857779665,0.378785244,-0.301823307,0.515461427,0.58103004,0.58103004,0.3,-0.3,4,2
Payette Joint District,1602580,Payette,-0.515461427,0.857779665,0.378785244,-0.301823307,0.515461427,0.58103004,0.58103004,0.3,-0.3,4,2
Fruitland District,1601140,Payette,1.855661138,0.857779665,0.378785244,-0.301823307,0.515461427,-1.646251781,0.58103004,0.32,-0.32,5,1
Weiser District,1603330,Washington,-0.515461427,-1.115113564,0.378785244,3.169144721,0.515461427,0.58103004,0.58103004,0.51,-0.51,5,1
Middleton District,1602130,Canyon,1.855661138,0.857779665,0.378785244,-0.301823307,0.515461427,0.58103004,0.58103004,0.64,-0.64,5,1
Vallivue School District,1600600,Canyon,1.855661138,0.857779665,0.378785244,-0.301823307,0.515461427,0.58103004,0.58103004,0.64,-0.64,5,1
Nampa School District,1602340,Canyon,1.855661138,-1.115113564,0.378785244,3.169144721,0.515461427,0.58103004,0.58103004,0.85,-0.85,5,1
Annex,4101350,Malheur,na,na,na,na,na,na,na,na,na,na,
Arock,4101500,Malheur,na,na,na,na,na,na,na,na,na,na,
Heritage Community Charter District,1600161,Canyon,na,na,na,na,na,na,na,na,na,na,
Juntura,4106960,Malheur,na,na,na,na,na,na,na,na,na,na,
Legacy Charter School District,1600158,Canyon,na,na,na,na,na,na,na,na,na,na,
