School District,GEOID,County,REG ATTEND Z,STR Z ,STC Z,EXPERIENCE Z,SALARY Z,ISS Z,OOS Z,EXPULSION Z,TITLE 1 Z,INDEX1,,,,INDEX
Adrian,4101020,Malheur,0.848592151,-0.209957489,0.097919832,0.937598842,0.158884041,0.417060817,0.504630767,0.499124922,0.188982237,0.382537347,5,-0.382537347,0.382537347,1
Annex,4101350,Malheur,-0.354920651,-0.306646131,-0.949120867,-1.094738313,-0.49141259,-0.690194906,0.504630767,0.499124922,0.188982237,-0.29936617,5,0.29936617,-0.29936617,5
Arock,4101500,Malheur,0.848592151,4.233900223,-0.949120867,1.230925854,3.368774593,0.417060817,0.504630767,0.499124922,-2.456769075,0.855235487,1,-0.855235487,0.855235487,1
Caldwell District,1600510,Canyon,-0.530872815,-0.427015337,0.365324357,-0.581416042,-0.905083677,-0.120145139,-0.43921261,-1.674126751,0.188982237,-0.458173975,5,0.458173975,-0.458173975,5
Cambridge Joint District,1600570,Washington,0.848592151,1.032617195,1.783832821,0.371896747,0.89252229,0.417060817,0.504630767,0.499124922,2.834733548,1.020556806,1,-1.020556806,1.020556806,1
Canyon-Owyhee School Service Agency (COSSA),1600152,Canyon,-3.655783249,0.505225616,3.35072627,0.633795865,-0.628957542,-4.8490474,-4.600076923,-1.337417625,-2.456769075,-1.448700451,5,1.448700451,-1.448700451,5
Fruitland District,1601140,Payette,0.391116525,-0.408854381,-0.006171934,0.392848677,-0.667949793,0.035429915,-0.1658752,-1.044752219,0.188982237,-0.142802908,4,0.142802908,-0.142802908,4
Harper,4106120,Malheur,-1.424709809,0.808018727,-0.949120867,0.120473594,0.735262887,0.417060817,-0.691785098,0.499124922,0.188982237,-0.032965843,3,0.032965843,-0.032965843,3
Heritage Community Charter District,1600161,Canyon,0.370002265,-0.54375282,0.063084203,-0.906170948,-0.876414629,0.299506125,0.185436327,0.499124922,0.188982237,-0.08002248,4,0.08002248,-0.08002248,4
Jordan Valley,4106820,Malheur,0.48261165,0.670983467,-0.949120867,-3.26326301,0.344017396,0.417060817,0.504630767,0.499124922,0.188982237,-0.122774736,4,0.122774736,-0.122774736,4
Juntura,4106960,Malheur,-1.164300606,0.142418893,-0.949120867,1.230925854,1.822920532,0.417060817,0.504630767,0.499124922,-2.456769075,0.005210137,3,-0.005210137,0.005210137,3
Legacy Charter School District,1600158,Canyon,0.848592151,-0.853044387,-0.949120867,-0.738555513,-0.997679681,0.417060817,0.504630767,0.499124922,0.188982237,-0.120001062,4,0.120001062,-0.120001062,4
