GEO_ID,NAME,id_Fix,Rent,HOC,MedianincHH,RN_income,median_inc_rent,median_inc_mort,RN_income_rent,RN_income_mort,MOE_Rent,MOE_HOC,MOE_MedianHH
id,Geographic Area Name,id_Fix,Rent,HOC,MedianincHH,RN_income,median_inc_rent,median_inc_mort,RN_income_rent,RN_income_mort,MOE_Rent,MOE_HOC,MOE_MedianHH
1400000US16027020100,"Census Tract 201, Canyon County, Idaho",16027020100,7152,9864,17384,"58,930",41.14127934,56.74183157,12.13643306,16.73850331,612,1620,3801
1400000US16027020200,"Census Tract 202, Canyon County, Idaho",16027020200,7512,7140,25919,"58,930",28.98259964,27.54735908,12.74732734,12.11606991,444,2484,3558
1400000US16027020300,"Census Tract 203, Canyon County, Idaho",16027020300,9060,9036,29954,"58,930",30.24637778,30.16625492,15.37417275,15.33344646,1116,1584,3639
1400000US16027020401,"Census Tract 204.01, Canyon County, Idaho",16027020401,10632,10560,35136,"58,930",30.25956284,30.05464481,18.04174444,17.91956559,660,1236,5800
1400000US16027020402,"Census Tract 204.02, Canyon County, Idaho",16027020402,8772,9288,29936,"58,930",29.30251203,31.0261892,14.88545732,15.76107246,456,708,8156
1400000US16027020501,"Census Tract 205.01, Canyon County, Idaho",16027020501,10812,10380,46911,"58,930",23.04789921,22.12700646,18.34719158,17.61411845,1188,1248,7492
1400000US16027020503,"Census Tract 205.03, Canyon County, Idaho",16027020503,9072,9792,45077,"58,930",20.12556293,21.72282982,15.39453589,16.61632445,996,756,6805
1400000US16027020504,"Census Tract 205.04, Canyon County, Idaho",16027020504,8220,8292,31147,"58,930",26.39098469,26.6221466,13.94875276,14.07093161,288,1068,3514
1400000US16027020601,"Census Tract 206.01, Canyon County, Idaho",16027020601,11616,11880,42903,"58,930",27.07502972,27.6903713,19.71152214,20.15951128,480,696,2523
1400000US16027020602,"Census Tract 206.02, Canyon County, Idaho",16027020602,8952,9420,32020,"58,930",27.95752655,29.41911305,15.19090446,15.98506703,1104,1428,5572
1400000US16027020700,"Census Tract 207, Canyon County, Idaho",16027020700,11256,11808,63345,"58,930",17.76935828,18.6407767,19.10062786,20.03733243,2556,2388,4495
1400000US16027020901,"Census Tract 209.01, Canyon County, Idaho",16027020901,11748,12096,55544,"58,930",21.15079937,21.77732968,19.93551671,20.52604785,852,1488,5981
1400000US16027020902,"Census Tract 209.02, Canyon County, Idaho",16027020902,12480,12516,(X),"58,930",#VALUE!,#VALUE!,21.17766842,21.23875785,816,1068,(X)
1400000US16027021001,"Census Tract 210.01, Canyon County, Idaho",16027021001,10536,10728,46309,"58,930",22.75151698,23.16612322,17.8788393,18.20464958,468,696,1631
1400000US16027021002,"Census Tract 210.02, Canyon County, Idaho",16027021002,8532,7860,41261,"58,930",20.6781222,19.0494656,14.47819447,13.33785848,756,612,3595
1400000US16027021100,"Census Tract 211, Canyon County, Idaho",16027021100,11772,11736,51752,"58,930",22.74694698,22.67738445,19.976243,19.91515357,804,1284,2564
1400000US16027021200,"Census Tract 212, Canyon County, Idaho",16027021200,7668,9240,32131,"58,930",23.86480346,28.75727491,13.01204819,15.67961989,612,1644,10803
1400000US16027021300,"Census Tract 213, Canyon County, Idaho",16027021300,6744,6864,20308,"58,930",33.20858775,33.79948789,11.4440862,11.64771763,648,948,4853
1400000US16027021500,"Census Tract 215, Canyon County, Idaho",16027021500,7320,6468,26692,"58,930",27.42394725,24.23197962,12.42151705,10.97573392,660,2448,4427
1400000US16027021600,"Census Tract 216, Canyon County, Idaho",16027021600,7452,8052,32259,"58,930",23.10053008,24.96047615,12.64551162,13.66366876,444,624,4127
1400000US16027021700,"Census Tract 217, Canyon County, Idaho",16027021700,9324,10068,41810,"58,930",22.30088496,24.08036355,15.82216189,17.08467674,996,936,3549
1400000US16027021800,"Census Tract 218, Canyon County, Idaho",16027021800,11136,12456,60150,"58,930",18.51371571,20.70822943,18.89699644,21.13694213,2424,2340,12393
1400000US16027021901,"Census Tract 219.01, Canyon County, Idaho",16027021901,11184,11808,43605,"58,930",25.64843481,27.07946336,18.97844901,20.03733243,600,756,6475
