"GEO_ID","id",
"NAME","Geographic Area Name",
"S2504_C01_001E","Occupied housing units!!Estimate!!Occupied housing units",
"S2504_C01_001M","Occupied housing units!!Margin of Error!!Occupied housing units",
"S2504_C01_002E","Occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, detached",
"S2504_C01_002M","Occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, detached",
"S2504_C01_003E","Occupied housing units!!Estimate!!UNITS IN STRUCTURE!!1, attached",
"S2504_C01_003M","Occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!1, attached",
"S2504_C01_004E","Occupied housing units!!Estimate!!UNITS IN STRUCTURE!!2 apartments",
"S2504_C01_004M","Occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!2 apartments",
"S2504_C01_005E","Occupied housing units!!Estimate!!UNITS IN STRUCTURE!!3 or 4 apartments",
"S2504_C01_005M","Occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!3 or 4 apartments",
"S2504_C01_006E","Occupied housing units!!Estimate!!UNITS IN STRUCTURE!!5 to 9 apartments",
"S2504_C01_006M","Occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!5 to 9 apartments",
"S2504_C01_007E","Occupied housing units!!Estimate!!UNITS IN STRUCTURE!!10 or more apartments",
"S2504_C01_007M","Occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!10 or more apartments",
"S2504_C01_008E","Occupied housing units!!Estimate!!UNITS IN STRUCTURE!!Mobile home or other type of housing",
"S2504_C01_008M","Occupied housing units!!Margin of Error!!UNITS IN STRUCTURE!!Mobile home or other type of housing",
"S2504_C01_009E","Occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!2010 or later",
"S2504_C01_009M","Occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!2010 or later",
"S2504_C01_010E","Occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!2000 to 2009",
"S2504_C01_010M","Occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!2000 to 2009",
"S2504_C01_011E","Occupied housing units!!Estimate!!YEAR STRUCTURE BUILT!!1980 to 1999",
"S2504_C01_011M","Occupied housing units!!Margin of Error!!YEAR STRUCTURE BUILT!!1980 to 1999",
