PIN,Line#,Ngrhd,TypeDescr,MethodDescr,Acres,SqrFt,ActFrnt,EffFrnt,EffDpth,Cat,Value,ValMethod,SoilID,SiteRating,LandUnit,System,lrsn
017810000030,1,13010,Rural Undeveloped,49  User Definable Land F,1.38,0,0,0,0,16,45400,Cost,,,AC,PV,702754
060750010030,1,63060,Rural Undeveloped,49  User Definable Land F,1.68,73254,0,0,0,16,20900,Cost,,,AC,PV,703441
060750010020,1,63060,Rural Undeveloped,49  User Definable Land F,2.15,93795,0,0,0,16,24400,Cost,,,AC,PV,703440
03540001000A,2,30140,Primary Commercial/Indust,29  Per Square Foot (brea,8.38,365033,0,0,0,16,122390,Cost,,F,AC,PV,13038
08N05W221220,1,30140,Primary Commercial/Indust,31  Per Effective Front F,9.5627,416551,0,572,846,16,380666,Cost,,AV,AC,PV,13078
017810000010,1,13010,Rural Undeveloped,49  User Definable Land F,1.1,0,0,0,0,16,41000,Cost,,,AC,PV,702752
060750010040,1,63060,Rural Undeveloped,49  User Definable Land F,1.68,73219,0,0,0,16,31350,Cost,,,AC,PV,703442
01810023000A,1,10040,Primary Commercial/Indust,33  Per Acre (by site rat,8.7,378972,0,0,0,16,70470,Cost,,F,AC,PV,14621
060750010010,1,63060,Rural Undeveloped,49  User Definable Land F,2.61,113723,0,0,0,16,41400,Cost,,,AC,PV,703439
017810000040,1,13010,Rural Undeveloped,49  User Definable Land F,9.36,0,0,0,0,16,105500,Cost,,,AC,PV,702755
F32950000000,1,99010,Exempt Land, 3  Per Acre,4.0243,0,0,0,0,25L,0,Cost,,,AC,PV,704193
F31840010090,1,30140,Primary Commercial/Indust,43  User Override Rate Pe,0.32,14061,0,0,0,25L,480,Cost,,,AC,PV,703467
N524500200A0,1,80000,Green Space Buffer,32  Site Value (lump sum,0.24,10483,100,100,105,25L,1500,Cost,,P,AC,PV,21275
01980010000E,1,13010,Homesite,33  Per Acre (by site rat,1,43560,0,0,0,14,55200,Cost,,AV,AC,PV,13988
01980010000F,1,13010,Homesite,33  Per Acre (by site rat,1,43560,0,0,0,14,55200,Cost,,AV,AC,PV,13994
06N05W094650,1,61030,Residential Excess Acreag,49  User Definable Land F,15.89,0,0,0,0,14,141300,Cost,,2F,AC,PV,702987
01980010000D,2,13010,Residential Excess Acreag,49  User Definable Land F,11.52,0,0,0,0,14,113100,Cost,,,AC,PV,13991
01980010000F,2,13010,Residential Excess Acreag,49  User Definable Land F,0.6861,29885,0,0,0,14,14300,Cost,,,AC,PV,13994
01980010000D,1,13010,Homesite,33  Per Acre (by site rat,1,0,0,0,0,14,55200,Cost,,AV,AC,PV,13991
01980010000E,2,13010,Residential Excess Acreag,49  User Definable Land F,3.9373,171510,0,0,0,14,56400,Cost,,,AC,PV,13988
06N05W093660,3,43040,Road Right of Way, 3  Per Acre,2.21,0,0,0,0,19,0,Cost,,,AC,PV,10369
06N05W093660,2,43040,Residential Excess Acreag,49  User Definable Land F,18.24,0,0,0,0,14,156800,Cost,,AV,AC,PV,10369
06N05W095580,1,43040,Homesite,33  Per Acre (by site rat,1,271379,0,0,0,14,46050,Cost,,AV,AC,PV,10370
06N05W093660,1,43040,Homesite,33  Per Acre (by site rat,1,0,0,0,0,14,57900,Cost,,VG,AC,PV,10369
01980010000G,1,13010,Homesite,49  User Definable Land F,0.5,21780,0,0,0,14,40700,Cost,,,AC,PV,13989
