GEO_ID,,NAME,S1903_C02_011E,S1903_C02_012E,S1903_C02_013E,S1903_C02_014E,S1903_C02_011M,S1903_C02_012M,S1903_C02_013M,S1903_C02_014M,,,S1903_C02_015E,S1903_C02_015M,S1903_C01_001E,S1903_C01_001M,S1903_C01_002E,S1903_C01_002M,S1903_C01_003E,S1903_C01_003M,S1903_C01_004E,S1903_C01_004M,S1903_C01_005E,S1903_C01_005M,S1903_C01_006E,S1903_C01_006M,S1903_C01_007E,S1903_C01_007M,S1903_C01_008E,S1903_C01_008M,S1903_C01_009E,S1903_C01_009M,S1903_C01_010E,S1903_C01_010M,S1903_C01_011E,S1903_C01_011M,S1903_C01_012E,S1903_C01_012M,S1903_C01_013E,S1903_C01_013M,S1903_C01_014E,S1903_C01_014M,S1903_C01_015E,S1903_C01_015M,S1903_C01_016E,S1903_C01_016M,S1903_C01_017E,S1903_C01_017M,S1903_C01_018E,S1903_C01_018M,S1903_C01_019E,S1903_C01_019M,S1903_C01_020E,S1903_C01_020M,S1903_C01_021E,S1903_C01_021M,S1903_C01_022E,S1903_C01_022M,S1903_C01_023E,S1903_C01_023M,S1903_C01_024E,S1903_C01_024M,S1903_C01_025E,S1903_C01_025M,S1903_C01_026E,S1903_C01_026M,S1903_C01_027E,S1903_C01_027M,S1903_C01_028E,S1903_C01_028M,S1903_C01_029E,S1903_C01_029M,S1903_C01_030E,S1903_C01_030M,S1903_C02_001E,S1903_C02_001M,S1903_C02_002E,S1903_C02_002M,S1903_C02_003E,S1903_C02_003M,S1903_C02_004E,S1903_C02_004M,S1903_C02_005E,S1903_C02_005M,S1903_C02_006E,S1903_C02_006M,S1903_C02_007E,S1903_C02_007M,S1903_C02_008E,S1903_C02_008M,S1903_C02_009E,S1903_C02_009M,S1903_C02_010E,S1903_C02_010M,S1903_C02_011E,S1903_C02_011M,S1903_C02_012E,S1903_C02_012M,S1903_C02_013E,S1903_C02_013M,S1903_C02_014E,S1903_C02_014M,S1903_C02_015E,S1903_C02_015M,S1903_C02_016E,S1903_C02_016M,S1903_C02_017E,S1903_C02_017M,S1903_C02_018E,S1903_C02_018M,S1903_C02_019E,S1903_C02_019M,S1903_C02_020E,S1903_C02_020M,S1903_C02_021E,S1903_C02_021M,S1903_C02_022E,S1903_C02_022M,S1903_C02_023E,S1903_C02_023M,S1903_C02_024E,S1903_C02_024M,S1903_C02_025E,S1903_C02_025M,S1903_C02_026E,S1903_C02_026M,S1903_C02_027E,S1903_C02_027M,S1903_C02_028E,S1903_C02_028M,S1903_C02_029E,S1903_C02_029M,S1903_C02_030E,S1903_C02_030M
id,id_Fix,Geographic Area Name,15_to_24,25_to_44,45_to_64,65_and_over,MOE_15_to_25,MOE_25_to_45,MOE_45_to_65,MOE_65_and_over,average_MOE,average_Income,Families,Families_MOE,Total!!Estimate!!Households,Total!!Margin of Error!!Households,Total!!Estimate!!Households!!One race!!White,Total!!Margin of Error!!Households!!One race!!White,Total!!Estimate!!Households!!One race!!Black or African American,Total!!Margin of Error!!Households!!One race!!Black or African American,Total!!Estimate!!Households!!One race!!American Indian and Alaska Native,Total!!Margin of Error!!Households!!One race!!American Indian and Alaska Native,Total!!Estimate!!Households!!One race!!Asian,Total!!Margin of Error!!Households!!One race!!Asian,Total!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander,Total!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander,Total!!Estimate!!Households!!One race!!Some other race,Total!!Margin of Error!!Households!!One race!!Some other race,Total!!Estimate!!Households!!Two or more races,Total!!Margin of Error!!Households!!Two or more races,Total!!Estimate!!Hispanic or Latino origin (of any race),Total!!Margin of Error!!Hispanic or Latino origin (of any race),"Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino",Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Total!!Estimate!!FAMILIES!!Families,Total!!Margin of Error!!FAMILIES!!Families,Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years,Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years,Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years,Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years,Total!!Estimate!!FAMILIES!!Families!!Married-couple families,Total!!Margin of Error!!FAMILIES!!Families!!Married-couple families,"Total!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present",Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households,Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder,Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder,Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone,Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone,Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone,Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone,Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder,Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder,Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone,Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone,Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone,Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone,Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Median income (dollars)!!Estimate!!Households,Median income (dollars)!!Margin of Error!!Households,Median income (dollars)!!Estimate!!Households!!One race!!White,Median income (dollars)!!Margin of Error!!Households!!One race!!White,Median income (dollars)!!Estimate!!Households!!One race!!Black or African American,Median income (dollars)!!Margin of Error!!Households!!One race!!Black or African American,Median income (dollars)!!Estimate!!Households!!One race!!American Indian and Alaska Native,Median income (dollars)!!Margin of Error!!Households!!One race!!American Indian and Alaska Native,Median income (dollars)!!Estimate!!Households!!One race!!Asian,Median income (dollars)!!Margin of Error!!Households!!One race!!Asian,Median income (dollars)!!Estimate!!Households!!One race!!Native Hawaiian and Other Pacific Islander,Median income (dollars)!!Margin of Error!!Households!!One race!!Native Hawaiian and Other Pacific Islander,Median income (dollars)!!Estimate!!Households!!One race!!Some other race,Median income (dollars)!!Margin of Error!!Households!!One race!!Some other race,Median income (dollars)!!Estimate!!Households!!Two or more races,Median income (dollars)!!Margin of Error!!Households!!Two or more races,Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race),Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race),"Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino",Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years,Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over,Median income (dollars)!!Estimate!!FAMILIES!!Families,Median income (dollars)!!Margin of Error!!FAMILIES!!Families,Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years,Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years,Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years,Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years,Median income (dollars)!!Estimate!!FAMILIES!!Families!!Married-couple families,Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Married-couple families,"Median income (dollars)!!Estimate!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Families!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!Male householder, no wife present",Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households,Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder,Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone,Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone,Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder,Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone,Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone,Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone,Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone,Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months,Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months,Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months,Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months,Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months,Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months
0500000US16001,16001,"Ada County, Idaho",25792,58092,69390,41024,2551,2078,2033,1521,2045.75,48574.5,68197,1319,154408,937,93.9,0.3,0.9,0.2,0.5,0.1,2.1,0.2,0.1,0.1,0.9,0.2,1.6,0.2,5.2,0.3,89.7,0.4,5.4,0.4,37.8,0.5,37.8,0.6,19,0.4,104286,1374,47.3,1.1,52.7,1.1,78.9,1,13.7,0.8,7.4,0.8,50122,1368,54.2,1.5,43.6,1.5,10.5,1,45.8,1.5,33.9,1.4,11.9,1.1,28.5,(X),28.2,(X),27.3,(X),55805,1005,56415,1115,36755,6425,39591,14574,66318,9918,75833,60464,39318,10335,30270,5336,46083,4626,56998,1195,25792,2551,58092,2078,69390,2033,41024,1521,68197,1319,66555,2103,69487,1955,78632,2054,33454,2485,44700,2576,32170,879,30941,1004,28559,1484,44696,3102,34103,1440,31228,2166,43325,3194,(X),(X),(X),(X),(X),(X)
0500000US16003,16003,"Adams County, Idaho",37656,47120,41010,28657,9662,4395,7370,4100,6381.75,38610.75,46789,5973,1643,109,94.6,2.2,0,1.8,1.3,0.9,0,1.8,0,1.8,0.6,0.7,3.5,2.1,2.1,1.1,93.9,2.1,2.1,2,17.8,3.3,46.6,3.4,33.5,2.3,1109,112,28.7,5.6,71.3,5.6,82.6,5.8,12.9,5,4.5,2.6,534,90,32.2,6.9,27.7,6.4,4.5,2.7,67.8,6.9,57.7,7,10.1,4.3,34.6,(X),42.4,(X),18.5,(X),38583,2637,39350,2589,-,**,35250,30655,-,**,-,**,-,**,8897,22104,28750,117263,39133,2473,37656,9662,47120,4395,41010,7370,28657,4100,46789,5973,45956,5485,49306,8047,53810,8214,21118,17085,38833,12649,19861,4237,21042,7655,18750,12720,33125,27263,19514,5339,18636,3958,39375,47783,(X),(X),(X),(X),(X),(X)
0500000US16005,16005,"Bannock County, Idaho",21880,43723,62634,37124,1774,2939,4236,2488,2859.25,41340.25,58344,2706,30277,421,93.2,0.7,0.7,0.3,2.4,0.4,0.9,0.3,0.2,0.1,0.9,0.3,1.7,0.5,5.4,0.7,89.8,0.8,7.1,0.8,36.9,0.9,36,1,20,0.8,20073,544,47.4,1.5,52.6,1.5,76.5,2,16.6,1.7,6.9,1.2,10204,469,49,2.5,41.6,2.9,7.4,1.5,51,2.5,39,3,12,1.9,29.7,(X),28.7,(X),30,(X),43953,1326,44503,1364,22102,52699,48500,17828,25625,19533,26912,15315,29432,7068,32404,15695,36479,3390,44976,1559,21880,1774,43723,2939,62634,4236,37124,2488,58344,2706,52128,3192,61974,2320,67981,1941,28914,2890,38207,6319,24769,1737,21928,1616,20417,1717,35559,5768,27997,3139,23583,4345,42953,7571,(X),(X),(X),(X),(X),(X)
0500000US16007,16007,"Bear Lake County, Idaho",18879,61250,44600,37599,2152,8819,7529,5253,5938.25,40582,53867,6075,2437,151,96.9,1.2,0,1.2,0,1.2,0.8,0.5,0,1.2,1.3,0.9,1,0.9,3.1,1.1,95.2,1.5,5.1,2.8,25.4,1.9,37.5,2.5,32,2.4,1731,158,39.9,3.9,60.1,3.9,84.6,3.8,11.1,3.1,4.3,3,706,94,49.2,5.6,45.2,6.4,4,3.2,50.8,5.6,45.9,5.9,5,3,38,(X),38.1,(X),35.4,(X),44974,4257,44719,4315,-,**,-,**,-,**,-,**,33942,61339,79375,68219,67708,29007,43673,4578,18879,2152,61250,8819,44600,7529,37599,5253,53867,6075,55938,4638,49612,8378,56828,2577,33750,17338,91484,229147,24412,4071,21513,4554,21513,3986,33750,57356,29453,9620,26364,8582,87917,37957,(X),(X),(X),(X),(X),(X)
0500000US16009,16009,"Benewah County, Idaho",36458,45417,44077,30617,17149,6955,4879,3027,8002.5,39142.25,43125,5150,3703,183,89.1,1.5,0.4,0.4,7.6,1,0.8,0.8,0,0.8,0.1,0.1,2.1,0.9,1.6,0.6,88.3,1.5,3.1,1.1,24.9,2.1,42.4,2.4,29.7,2.7,2441,186,38.8,3.5,61.2,3.5,75.7,4.1,14.8,3.4,9.4,3.2,1262,167,48.2,6.7,38.5,5.6,9.7,6.3,51.8,6.7,43.3,6.7,8.5,2.4,26.6,(X),26.3,(X),24.4,(X),38963,4116,40421,4291,4444,116233,32500,2894,71250,243,-,**,-,**,18398,1268,37083,16592,40326,4320,36458,17149,45417,6955,44077,4879,30617,3027,43125,5150,42044,7720,43776,6133,51778,3585,26607,3555,36960,3124,28008,5650,23519,6828,19188,3573,46727,16171,31029,8749,29659,8901,43229,13244,(X),(X),(X),(X),(X),(X)
0500000US16011,16011,"Bingham County, Idaho",35938,49754,60751,34920,18601,3515,4045,3981,7535.5,45340.75,56592,3586,14840,261,88.8,1.4,0.1,0.1,5.5,0.6,0.7,0.3,0,0.2,3.8,1.1,1.1,0.5,13.3,1,80.2,1.2,3.4,0.9,36.1,1.3,36.9,1.2,23.6,0.9,11343,375,48.8,2.2,51.2,2.2,82.3,2,12.4,2,5.3,1.3,3497,357,51.9,5.4,45.2,5.5,6.7,3,48.1,5.4,41.7,5.7,6.4,2.3,31.2,(X),32.1,(X),26.2,(X),48088,2712,49482,2893,-,**,30476,9589,53462,31892,-,**,45066,5507,53750,17472,44362,4778,50547,2508,35938,18601,49754,3515,60751,4045,34920,3981,56592,3586,50533,4444,60841,2705,63168,2877,25274,5444,33583,4658,24257,1988,19523,5131,16547,2819,43750,6432,32231,6868,28500,6532,55811,11248,(X),(X),(X),(X),(X),(X)
0500000US16013,16013,"Blaine County, Idaho",36579,66043,66366,52045,21388,3937,10113,13417,12213.75,55258.25,75406,4386,9258,335,92.1,2.2,0,0.3,0.5,0.8,1,0.4,0.5,0.4,5.4,2.2,0.4,0.5,15,1.5,83.6,1.6,4.8,1.9,30.9,2.3,43.4,2.4,20.8,1.5,6162,377,48.5,4.3,51.5,4.3,81,4,13.4,3.4,5.6,2.3,3096,340,49,4.7,42,5.4,7,3.1,51,4.7,38,5.1,13,4.1,36.6,(X),40.4,(X),28.9,(X),62489,5947,63206,5684,-,**,-,**,39886,28932,-,**,43931,19127,"250,000+",***,43663,7806,66657,4339,36579,21388,66043,3937,66366,10113,52045,13417,75406,4386,62287,9918,80238,9540,80711,6491,31016,7789,44592,11504,34951,4461,29091,4718,26835,2379,85245,46773,38182,3773,36654,2685,69150,15252,(X),(X),(X),(X),(X),(X)
0500000US16015,16015,"Boise County, Idaho",27500,58450,48838,32500,28446,10454,8142,6434,13369,41822,57155,5415,3038,255,95,1.6,0.6,0.6,2.5,1.5,0.7,0.9,0,1,0.1,0.2,1,0.8,3.8,0.8,93,1.1,1.7,1.3,17,3.1,49.5,2.6,31.7,3.2,1850,199,33.6,4.9,66.4,4.9,87.4,3.8,9,2.9,3.7,2.3,1188,206,42.1,6.6,35.9,6.3,6.1,3.4,57.9,6.6,52.4,6.8,5.5,2.8,31.9,(X),35.2,(X),25.8,(X),41194,5323,41139,5791,-,**,42554,35307,-,**,-,**,-,**,9609,24106,55000,48532,40819,5576,27500,28446,58450,10454,48838,8142,32500,6434,57155,5415,58250,22165,56808,6505,60081,3867,23750,15796,33125,8718,22545,5439,17021,4627,15559,3253,41250,76903,26447,9193,23778,5727,82656,23346,(X),(X),(X),(X),(X),(X)
0500000US16017,16017,"Bonner County, Idaho",28618,45615,47805,34823,3705,3971,4082,2081,3459.75,39215.25,51644,3461,17388,501,97.5,0.7,0.2,0.3,0.6,0.3,0.2,0.2,0.1,0.1,0.1,0.2,1.3,0.5,1.1,0.5,96.6,0.8,2.7,0.8,24.3,1.2,43.8,1.5,29.3,1.4,11241,409,34.7,2.2,65.3,2.2,82.5,2.3,13,1.9,4.5,1.4,6147,508,50.2,3.8,41.3,3.8,8.9,2.3,49.8,3.8,39.6,3.7,10.2,2.5,27.7,(X),29.3,(X),24.2,(X),41879,2097,41913,2133,-,**,41667,17271,"2,500-",***,-,**,-,**,51786,17101,44258,22844,41725,2083,28618,3705,45615,3971,47805,4082,34823,2081,51644,3461,49705,4756,52645,4085,57846,3064,25177,3151,45893,13212,21599,2516,20113,3814,16941,1758,62857,22258,23203,7316,20417,2153,36081,12269,(X),(X),(X),(X),(X),(X)
