NAME,NAICS2017,NAICS2017_LABEL,LFO_LABEL,EMPSZES_LABEL,YEAR,ESTAB,PAYANN,PAYANN_N,PAYQTR1,PAYQTR1_N,EMP,EMP_N,LFO,EMPSZES,Rank_payroll,Rank_employment,Share_payroll,Share_employment
"Canyon County, Idaho",31-33,Manufacturing,All establishments,All establishments,2018,235,436494,G,108808,G,9412,G,1,1,1,1,21.60070073,16.9870233
"Canyon County, Idaho",62,Health care and social assistance,All establishments,All establishments,2018,418,311762,H,72811,H,7862,H,1,1,2,2,15.42811049,14.18954284
"Canyon County, Idaho",44-45,Retail trade,All establishments,All establishments,2018,508,242906,H,58329,H,7849,H,1,1,4,3,12.0206459,14.1660801
"Canyon County, Idaho",23,Construction,All establishments,All establishments,2018,1145,292188,G,61398,G,6778,G,1,1,3,4,14.45945545,12.23311134
"Canyon County, Idaho",72,Accommodation and food services,All establishments,All establishments,2018,305,86150,G,20202,G,5825,G,1,1,7,5,4.263289686,10.51311206
"Canyon County, Idaho",56,Administrative and support and waste management and remediation services,All establishments,All establishments,2018,247,71653,G,13864,G,2826,G,1,1,9,6,3.545879232,5.100438573
"Canyon County, Idaho",42,Wholesale trade,All establishments,All establishments,2018,183,125769,G,32063,G,2613,G,1,1,5,7,6.223908073,4.716010612
"Canyon County, Idaho",48-49,Transportation and warehousing,All establishments,All establishments,2018,204,90689,G,21390,G,2440,G,1,1,6,8,4.487910369,4.403775696
"Canyon County, Idaho",81,Other services (except public administration),All establishments,All establishments,2018,344,67731,G,15900,G,2232,G,1,1,10,9,3.351791918,4.028371866
"Canyon County, Idaho",61,Educational services,All establishments,All establishments,2018,38,36711,G,8874,G,1637,G,1,1,14,10,1.81671071,2.954500334
"Canyon County, Idaho",0,Total for all sectors,All establishments,All establishments,2018,4520,2020740,G,476483,G,55407,G,1,1,,,100,100
"Canyon County, Idaho",0,Total for all sectors,All establishments,All establishments,2017,4199,1796257,G,417114,G,52037,G,1,1,,,100,100
"Canyon County, Idaho",11,"Agriculture, forestry, fishing and hunting",All establishments,All establishments,2017,33,5558,G,1227,G,103,G,1,1,,,0.309421202,0.197936084
"Canyon County, Idaho",21,"Mining, quarrying, and oil and gas extraction",All establishments,All establishments,2017,7,1933,G,461,H,39,G,1,1,,,0.107612663,0.074946673
"Canyon County, Idaho",22,Utilities,All establishments,All establishments,2017,4,S,S,S,S,c,S,1,1,,,na,na
"Canyon County, Idaho",23,Construction,All establishments,All establishments,2017,974,242129,G,49235,G,5804,G,1,1,,,13.47964128,11.15360224
"Canyon County, Idaho",31-33,Manufacturing,All establishments,All establishments,2017,227,391462,G,93544,G,9354,G,1,1,,,21.79320665,17.97567116
"Canyon County, Idaho",42,Wholesale trade,All establishments,All establishments,2017,187,118802,G,30663,G,2517,G,1,1,,,6.613864274,4.836942944
"Canyon County, Idaho",44-45,Retail trade,All establishments,All establishments,2017,508,230843,H,55180,H,7804,G,1,1,,,12.85133475,14.99702135
"Canyon County, Idaho",48-49,Transportation and warehousing,All establishments,All establishments,2017,192,84075,G,20090,G,2348,G,1,1,,,4.680566311,4.51217403
"Canyon County, Idaho",51,Information,All establishments,All establishments,2017,57,36863,G,9139,H,829,H,1,1,,,2.052211905,1.593097219
"Canyon County, Idaho",52,Finance and insurance,All establishments,All establishments,2017,225,61471,H,15145,G,1147,H,1,1,,,3.422171772,2.204200857
"Canyon County, Idaho",53,Real estate and rental and leasing,All establishments,All establishments,2017,182,17234,G,3750,G,511,H,1,1,,,0.959439546,0.981993581
"Canyon County, Idaho",54,"Professional, scientific, and technical services",All establishments,All establishments,2017,287,60274,G,12932,G,1280,G,1,1,,,3.3555332,2.459788228
"Canyon County, Idaho",55,Management of companies and enterprises,All establishments,All establishments,2017,16,34468,G,8658,G,491,G,1,1,,,1.918879091,0.94355939
"Canyon County, Idaho",56,Administrative and support and waste management and remediation services,All establishments,All establishments,2017,214,57540,G,11169,G,2445,G,1,1,,,3.203327809,4.698579857
"Canyon County, Idaho",61,Educational services,All establishments,All establishments,2017,34,36054,G,8801,G,1686,G,1,1,,,2.007173806,3.240002306
"Canyon County, Idaho",62,Health care and social assistance,All establishments,All establishments,2017,404,260624,H,59738,H,7146,G,1,1,,,14.50928236,13.73253646
"Canyon County, Idaho",71,"Arts, entertainment, and recreation",All establishments,All establishments,2017,43,8195,H,1867,H,884,J,1,1,,,0.456226475,1.698791245
"Canyon County, Idaho",72,Accommodation and food services,All establishments,All establishments,2017,283,75656,G,17335,G,5357,G,1,1,,,4.21186946,10.29459807
"Canyon County, Idaho",81,Other services (except public administration),All establishments,All establishments,2017,318,61455,G,14567,G,2157,G,1,1,,,3.42128103,4.145127505
"Canyon County, Idaho",99,Industries not classified,All establishments,All establishments,2017,4,65,G,8,J,5,G,1,1,,,0.003618636,0.009608548
"Canyon County, Idaho",0,Total for all sectors,All establishments,All establishments,2016,3979,1707368,G,393918,G,50955,G,1,,,,100,100
