match,Occupation,Year,Total_employed,Total_employed,Percent_employed
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,Office and administrative support occupations,2010,11125,76684,14.50758959
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Management, business, and financial occupations",2010,8657,76684,11.28918679
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,Sales and related occupations,2010,8317,76684,10.84580877
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",Construction and extraction occupations,2010,6423,76684,8.375932398
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Education, legal, community service, arts, and media occupations",2010,6679,76684,8.709769965
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",Production occupations,2010,6100,76684,7.95472328
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,Food preparation and serving related occupations,2010,2852,76684,3.719159147
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",Transportation occupations,2010,3490,76684,4.551144959
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,2010,3522,76684,4.592874654
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",Healthcare practitioners and technical occupations,2010,2950,76684,3.84695634
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,Office and administrative support occupations,2011,11358,76454,14.85599184
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Management, business, and financial occupations",2011,8469,76454,11.07724906
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,Sales and related occupations,2011,8507,76454,11.12695215
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",Construction and extraction occupations,2011,5679,76454,7.427995919
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Education, legal, community service, arts, and media occupations",2011,6485,76454,8.482224606
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",Production occupations,2011,6197,76454,8.105527507
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,Food preparation and serving related occupations,2011,2849,76454,3.726423732
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",Transportation occupations,2011,3426,76454,4.481125906
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,2011,3738,76454,4.88921443
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",Healthcare practitioners and technical occupations,2011,2868,76454,3.751275277
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,Office and administrative support occupations,2012,11497,76877,14.95505808
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Management, business, and financial occupations",2012,8115,76877,10.55582294
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,Sales and related occupations,2012,7986,76877,10.38802243
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",Construction and extraction occupations,2012,5534,76877,7.198511909
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Education, legal, community service, arts, and media occupations",2012,6905,76877,8.981880146
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",Production occupations,2012,5973,76877,7.769553963
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,Food preparation and serving related occupations,2012,3584,76877,4.661992534
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",Transportation occupations,2012,3417,76877,4.444762413
Total!!Estimate!!Service occupations!!Building and grounds cleaning and maintenance occupations,Building and grounds cleaning and maintenance occupations,2012,3912,76877,5.0886481
"Total!!Estimate!!Management, business, science, and arts occupations!!Healthcare practitioner and technical occupations",Healthcare practitioners and technical occupations,2012,2987,76877,3.885427371
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,Office and administrative support occupations,2013,11359,77089,14.73491678
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Management, business, and financial occupations",2013,7800,77089,10.1181751
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,Sales and related occupations,2013,8282,77089,10.74342643
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",Construction and extraction occupations,2013,5590,77089,7.251358819
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Education, legal, community service, arts, and media occupations",2013,6988,77089,9.064847125
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",Production occupations,2013,5602,77089,7.266925242
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,Food preparation and serving related occupations,2013,4042,77089,5.243290223
