Occupation,Year,Total_employed occ,Total_employed,Percent_employed
Construction and extraction occupations,2018,610,,5.640835953
"Education, legal, community service, arts, and media occupations",2018,906,,8.378028482
"Farming, fishing, and forestry occupations",2018,830,,7.675235805
Food preparation and serving related occupations,2018,749,,6.926206769
Healthcare practitioners and technical occupations,2018,519,,4.799334196
"Management, business, and financial occupations",2018,1377,,12.73349362
Material moving occupations,2018,689,,6.371370446
Office and administrative support occupations,2018,1221,,11.29091918
Production occupations,2018,915,,8.46125393
Sales and related occupations,2018,759,,7.01867949
Construction and extraction occupations,2017,591,10824,5.460088692
"Education, legal, community service, arts, and media occupations",2017,930,10824,8.592017738
"Farming, fishing, and forestry occupations",2017,747,10824,6.901330377
Food preparation and serving related occupations,2017,824,10824,7.612712491
Healthcare practitioners and technical occupations,2017,399,10824,3.686252772
"Management, business, and financial occupations",2017,1377,10824,12.72172949
Material moving occupations,2017,667,10824,6.162232077
Office and administrative support occupations,2017,1267,10824,11.70546933
Production occupations,2017,790,10824,7.298595713
Sales and related occupations,2017,743,10824,6.864375462
Construction and extraction occupations,2016,452,10722,4.215631412
"Education, legal, community service, arts, and media occupations",2016,896,10722,8.356649879
"Farming, fishing, and forestry occupations",2016,805,10722,7.507927625
Food preparation and serving related occupations,2016,744,10722,6.939003917
Healthcare practitioners and technical occupations,2016,345,10722,3.217683268
"Management, business, and financial occupations",2016,1586,10722,14.79201641
Material moving occupations,2016,552,10722,5.148293229
Office and administrative support occupations,2016,1147,10722,10.69763104
Production occupations,2016,764,10722,7.125536281
Sales and related occupations,2016,779,10722,7.265435553
Construction and extraction occupations,2015,423,10595,3.992449269
"Education, legal, community service, arts, and media occupations",2015,832,10595,7.852760736
"Farming, fishing, and forestry occupations",2015,839,10595,7.918829637
Food preparation and serving related occupations,2015,705,10595,6.654082114
Healthcare practitioners and technical occupations,2015,353,10595,3.331760264
"Management, business, and financial occupations",2015,1644,10595,15.51675319
Material moving occupations,2015,481,10595,4.539877301
Office and administrative support occupations,2015,1081,10595,10.20292591
Production occupations,2015,757,10595,7.14487966
Sales and related occupations,2015,789,10595,7.446908919
Construction and extraction occupations,2014,452,10607,4.261336853
"Education, legal, community service, arts, and media occupations",2014,859,10607,8.098425568
"Farming, fishing, and forestry occupations",2014,948,10607,8.937494108
Food preparation and serving related occupations,2014,628,10607,5.92061846
Healthcare practitioners and technical occupations,2014,445,10607,4.195342698
"Management, business, and financial occupations",2014,1564,10607,14.74497973
Material moving occupations,2014,416,10607,3.921938343
Office and administrative support occupations,2014,1034,10607,9.748279438
Production occupations,2014,701,10607,6.608843217
Sales and related occupations,2014,899,10607,8.475535024
Construction and extraction occupations,2013,448,10773,4.158544509
"Education, legal, community service, arts, and media occupations",2013,924,10773,8.576998051
"Farming, fishing, and forestry occupations",2013,928,10773,8.614127912
Food preparation and serving related occupations,2013,628,10773,5.829388286
Healthcare practitioners and technical occupations,2013,443,10773,4.112132182
"Management, business, and financial occupations",2013,1540,10773,14.29499675
Material moving occupations,2013,409,10773,3.796528358
Office and administrative support occupations,2013,1132,10773,10.50775086
Production occupations,2013,708,10773,6.571985519
Sales and related occupations,2013,997,10773,9.254618027
Construction and extraction occupations,2012,536,11087,4.834490845
"Education, legal, community service, arts, and media occupations",2012,1134,11087,10.22819518
"Farming, fishing, and forestry occupations",2012,820,11087,7.396049427
Food preparation and serving related occupations,2012,686,11087,6.187426716
Healthcare practitioners and technical occupations,2012,421,11087,3.797240011
"Management, business, and financial occupations",2012,1529,11087,13.79092631
Material moving occupations,2012,337,11087,3.039595923
Office and administrative support occupations,2012,1180,11087,10.64309552
Production occupations,2012,775,11087,6.990168666
Sales and related occupations,2012,1008,11087,9.091729052
Construction and extraction occupations,2011,743,11433,6.498731741
"Education, legal, community service, arts, and media occupations",2011,1264,11433,11.05571591
"Farming, fishing, and forestry occupations",2011,843,11433,7.37339281
Food preparation and serving related occupations,2011,674,11433,5.895215604
Healthcare practitioners and technical occupations,2011,474,11433,4.145893466
"Management, business, and financial occupations",2011,1417,11433,12.39394735
Material moving occupations,2011,340,11433,2.973847634
Office and administrative support occupations,2011,1335,11433,11.67672527
Production occupations,2011,708,11433,6.192600367
Sales and related occupations,2011,1017,11433,8.89530307
Construction and extraction occupations,2010,807,11487,7.025332985
"Education, legal, community service, arts, and media occupations",2010,1241,11487,10.80351702
"Farming, fishing, and forestry occupations",2010,804,11487,6.999216506
Food preparation and serving related occupations,2010,676,11487,5.88491338
Healthcare practitioners and technical occupations,2010,467,11487,4.065465309
"Management, business, and financial occupations",2010,1420,11487,12.3618003
Material moving occupations,2010,405,11487,3.525724732
Office and administrative support occupations,2010,1520,11487,13.23234961
Production occupations,2010,737,11487,6.415948463
Sales and related occupations,2010,1032,11487,8.984068948
