match,Occupation,Year,Total_employed occ,Total_employed,Percent_employed
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",Construction and extraction occupations,2010,9400,511,5.436170213
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Education, legal, community service, arts, and media occupations",2010,9400,797,8.478723404
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,Food preparation and serving related occupations,2010,9400,487,5.180851064
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","installation, maintenance, and repair occupations",2010,9400,526,5.595744681
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Management, business, and financial occupations",2010,9400,1106,11.76595745
"Total!!Estimate!!Production, transportation, and material moving occupations!!Material moving occupations",Material moving occupations,2010,9400,546,5.808510638
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,Office and administrative support occupations,2010,9400,975,10.37234043
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",Production occupations,2010,9400,755,8.031914894
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,Sales and related occupations,2010,9400,1260,13.40425532
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",Transportation occupations,2010,9400,455,4.840425532
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",Construction and extraction occupations,2011,9346,467,4.996790071
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Education, legal, community service, arts, and media occupations",2011,9346,842,9.009201798
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,Food preparation and serving related occupations,2011,9346,416,4.451102076
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",2011,9346,370,3.958912904
"Total!!Estimate!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Management, business, and financial occupations",2011,9346,1249,13.36400599
"Total!!Estimate!!Production, transportation, and material moving occupations!!Material moving occupations",Material moving occupations,2011,9346,468,5.007489835
Total!!Estimate!!Sales and office occupations!!Office and administrative support occupations,Office and administrative support occupations,2011,9346,1195,12.7862187
"Total!!Estimate!!Production, transportation, and material moving occupations!!Production occupations",Production occupations,2011,9346,703,7.521934517
Total!!Estimate!!Sales and office occupations!!Sales and related occupations,Sales and related occupations,2011,9346,1048,11.21335331
"Total!!Estimate!!Production, transportation, and material moving occupations!!Transportation occupations",Transportation occupations,2011,9346,434,4.643697839
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations",Construction and extraction occupations,2012,9079,467,5.143738297
"Total!!Estimate!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Education, legal, community service, arts, and media occupations",2012,9079,842,9.274149135
Total!!Estimate!!Service occupations!!Food preparation and serving related occupations,Food preparation and serving related occupations,2012,9079,416,4.582002423
"Total!!Estimate!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","Installation, maintenance, and repair occupations",2012,9079,370,4.075338694
