GEO_ID,id_Fix,NAME,change_nonwhite,change_white,change_latino,change_black,change_native,change_AAPI,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M
id,id_Fix,Geographic Area Name,change_nonwhite,change_white,change_latino,change_black,change_native,change_AAPI,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Not Hispanic or Latino,Margin of Error!!Total!!Not Hispanic or Latino,Estimate!!Total!!Not Hispanic or Latino!!White alone,Margin of Error!!Total!!Not Hispanic or Latino!!White alone,Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Not Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone,Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Not Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone,Estimate!!Total!!Not Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races,Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!Hispanic or Latino,Margin of Error!!Total!!Hispanic or Latino,Estimate!!Total!!Hispanic or Latino!!White alone,Margin of Error!!Total!!Hispanic or Latino!!White alone,Estimate!!Total!!Hispanic or Latino!!Black or African American alone,Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone,Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone,Estimate!!Total!!Hispanic or Latino!!Asian alone,Margin of Error!!Total!!Hispanic or Latino!!Asian alone,Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Hispanic or Latino!!Some other race alone,Margin of Error!!Total!!Hispanic or Latino!!Some other race alone,Estimate!!Total!!Hispanic or Latino!!Two or more races,Margin of Error!!Total!!Hispanic or Latino!!Two or more races,Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race,"Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races"
1400000US41045970900,41045970900,"Census Tract 9709, Malheur County, Oregon",-19.12331407,-8.057584873,-13.74663073,-21.33333333,65.38461538,140,5958,306,4998,280,4279,263,236,75,129,53,92,52,4,8,18,26,240,72,0,17,240,72,960,199,530,156,27,27,52,49,4,8,0,17,295,123,52,35,15,17,37,30
1400000US41045970700,41045970700,"Census Tract 9707, Malheur County, Oregon",36.84210526,-8.270676692,15.4109589,0,100,92.85714286,1662,203,1325,137,1220,119,0,12,35,47,21,15,6,8,1,3,42,44,0,12,42,44,337,157,281,157,0,12,0,12,2,5,0,12,29,34,25,24,19,23,6,9
1400000US41045970600,41045970600,"Census Tract 9706, Malheur County, Oregon",12.69592476,6.464583978,17.52767528,-100,-35.71428571,264.7058824,4161,331,3524,320,3442,328,0,12,9,15,62,54,0,12,0,12,11,12,0,12,11,12,637,162,559,156,0,12,7,13,0,12,0,12,67,44,4,6,4,6,0,12
1400000US41045970500,41045970500,"Census Tract 9705, Malheur County, Oregon",4.434678386,-25.8957077,3.426919901,100,50,14.54545455,4703,229,2198,164,2089,174,6,10,3,5,63,37,0,12,0,12,37,29,2,4,35,30,2505,205,2266,197,15,23,3,5,0,12,0,12,194,99,27,22,10,13,17,18
1400000US41045970400,41045970400,"Census Tract 9704, Malheur County, Oregon",8.25617284,1.78485287,8.009611534,257.1428571,66.66666667,-8.823529412,4916,366,2219,318,2110,312,25,42,10,18,31,33,0,12,0,12,43,46,0,12,43,46,2697,358,2318,454,0,12,35,51,0,12,0,12,240,208,104,85,49,44,55,80
1400000US41045970300,41045970300,"Census Tract 9703, Malheur County, Oregon",16.40682999,-15.01322751,16.34208298,100,-100,-5.747126437,4138,462,2764,281,2570,272,12,9,0,12,82,38,0,12,0,12,100,67,0,12,100,67,1374,370,1197,363,0,12,10,14,9,13,0,12,146,121,12,15,0,12,12,15
1400000US41045970200,41045970200,"Census Tract 9702, Malheur County, Oregon",13.739546,-1.677631579,15.06565308,61.11111111,71.42857143,-44.44444444,4893,419,3228,322,2989,320,29,26,48,47,24,23,11,16,0,12,127,73,0,12,127,73,1665,395,1256,405,0,12,0,12,0,12,0,12,318,247,91,100,51,58,40,44
1400000US41045940000,41045940000,"Census Tract 9400, Malheur County, Oregon",0,0,0,0,0,0,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US16087970300,16087970300,"Census Tract 9703, Washington County, Idaho",-5.835806133,-13.73015873,1.96801968,100,100,-56.97674419,4213,317,3384,270,3261,256,13,23,38,49,37,27,0,12,0,12,35,37,17,26,18,28,829,155,381,175,0,12,0,12,0,12,0,12,411,276,37,46,37,46,0,12
1400000US16087970200,16087970200,"Census Tract 9702, Washington County, Idaho",29.55899881,-0.637156271,21.03004292,-78.94736842,100,-64.28571429,4050,288,3204,256,2963,245,4,8,35,33,10,16,0,12,0,12,192,75,0,12,192,75,846,151,374,215,0,12,0,12,0,12,0,12,418,226,54,47,35,32,19,33
1400000US16087970100,16087970100,"Census Tract 9701, Washington County, Idaho",-6.329113924,19.37765205,0,0,360,0,1762,202,1719,196,1688,185,0,12,23,30,0,12,0,12,0,12,8,7,0,12,8,7,43,31,26,18,0,12,0,12,0,12,0,12,11,18,6,12,6,12,0,12
1400000US16075960400,16075960400,"Census Tract 9604, Payette County, Idaho",59.3250444,-0.046707146,157.8947368,-100,-60.46511628,-73.52941176,5177,420,4344,474,4280,467,0,17,17,19,9,14,0,17,0,17,38,30,0,17,38,30,833,342,583,334,0,17,34,46,10,16,0,17,185,168,21,30,3,6,18,29
1400000US16075960300,16075960300,"Census Tract 9603, Payette County, Idaho",17.6096181,1.703008117,-3.846153846,100,-100,288.5714286,8053,430,6953,522,6390,487,54,60,0,17,136,114,0,17,0,17,373,206,0,17,373,206,1100,384,721,381,0,17,0,17,0,17,0,17,350,286,29,39,0,17,29,39
1400000US16075960200,16075960200,"Census Tract 9602, Payette County, Idaho",2.5390625,-11.98680352,19.10519952,-100,42.42424242,-100,3451,335,2466,267,2401,278,0,12,47,64,0,12,0,12,0,12,18,20,0,12,18,20,985,322,574,265,0,12,0,12,2,6,0,12,294,262,115,141,108,141,7,11
1400000US16075960100,16075960100,"Census Tract 9601, Payette County, Idaho",27.23772859,-1.56311059,16.62946429,100,-21.33333333,-100,6360,362,5315,406,5038,395,24,36,59,66,0,17,0,17,0,17,194,126,19,32,175,120,1045,380,932,369,0,17,0,17,18,28,0,17,78,88,17,27,17,27,0,17
1400000US16027022400,16027022400,"Census Tract 224, Canyon County, Idaho",27.25366876,2.510460251,5.021834061,100,0,100,4527,476,4046,427,3920,403,50,81,0,12,18,29,0,12,0,12,58,72,0,12,58,72,481,213,326,157,0,12,0,12,0,12,0,12,155,169,0,12,0,12,0,12
1400000US16027022300,16027022300,"Census Tract 223, Canyon County, Idaho",64.82843137,-3.615138392,87.11111111,-100,-39.13043478,-100,6464,720,5201,621,5119,593,0,17,14,20,0,17,0,17,3,6,65,81,0,17,65,81,1263,414,991,606,3,9,0,17,0,17,0,17,191,222,78,95,71,94,7,11
1400000US16027022200,16027022200,"Census Tract 222, Canyon County, Idaho",40.56660639,18.54327938,39.86013986,0,-58.97435897,100,5701,431,3501,270,3369,259,0,17,16,16,18,28,4,8,12,20,82,46,0,17,82,46,2200,386,1051,248,0,17,5,7,0,17,0,17,1054,373,90,73,79,73,11,12
1400000US16027022100,16027022100,"Census Tract 221, Canyon County, Idaho",39.29564411,10.54925894,61.74112257,-63.63636364,21.42857143,-7.692307692,5307,570,3895,465,3804,465,4,10,17,24,12,14,0,17,0,17,58,38,0,17,58,38,1412,412,782,283,0,17,0,17,0,17,0,17,537,323,93,74,64,65,29,44
1400000US16027021904,16027021904,"Census Tract 219.04, Canyon County, Idaho",20.79037801,14.28571429,26.81992337,-100,500,-40,3782,414,2458,198,2376,194,0,12,24,39,6,10,0,12,0,12,52,41,14,21,38,35,1324,400,915,352,0,12,31,37,0,12,0,12,366,277,12,18,12,18,0,12
1400000US16027021903,16027021903,"Census Tract 219.03, Canyon County, Idaho",13.29896907,28.73228745,-22.11720227,0,566.6666667,460.4166667,11274,658,10862,690,10175,708,0,19,40,38,269,274,0,19,0,19,378,228,0,19,378,228,412,205,328,205,0,19,0,19,0,19,0,19,39,44,45,75,45,75,0,19
1400000US16027021901,16027021901,"Census Tract 219.01, Canyon County, Idaho",113.5826772,8.987341772,231.6725979,0,-78.84615385,250,5390,332,4458,446,4305,446,0,17,11,14,42,46,0,17,0,17,100,81,0,17,100,81,932,364,452,205,0,17,44,78,0,17,0,17,345,358,91,68,49,73,42,45
1400000US16027021800,16027021800,"Census Tract 218, Canyon County, Idaho",21.35678392,8.233756535,30.81695967,-100,-38.46153846,-100,7246,491,5981,492,5797,481,0,17,8,11,0,17,0,17,0,17,176,117,24,42,152,108,1265,285,979,312,0,17,32,45,12,16,0,17,225,174,17,19,0,17,17,19
1400000US16027021700,16027021700,"Census Tract 217, Canyon County, Idaho",60.44584167,2.841945289,69.02800659,-9.836065574,125.3521127,-2.688172043,12381,1012,7251,662,6767,674,55,70,160,105,89,108,92,116,14,25,74,79,0,19,74,79,5130,1133,3176,1266,0,19,94,119,0,19,0,19,1140,739,720,432,610,364,110,140
1400000US16027021600,16027021600,"Census Tract 216, Canyon County, Idaho",16.2695152,-9.877384196,13.66972477,100,100,-100,4061,414,2822,331,2646,303,32,41,23,23,0,12,0,12,0,12,121,100,22,38,99,92,1239,349,758,289,0,12,0,12,0,12,0,12,294,171,187,141,174,139,13,14
1400000US16027021500,16027021500,"Census Tract 215, Canyon County, Idaho",-29.64264792,6.08238872,-40.23303633,100,-52,-65.68627451,5038,455,4166,447,3837,427,47,43,24,28,35,44,0,17,0,17,223,163,0,17,223,163,872,268,540,200,0,17,21,41,0,17,0,17,311,202,0,17,0,17,0,17
