GEO_ID,NAME,id_Fix,Commutetime,Commutetime_z,INDEX_Commute,Laborforcepart,Laborforcepart_z,"INDEX_Employment, ",Belowpov_act,Belowpov,Belowpov_z,INDEX_poverty,Workedfull,Workedfull_z,"INDEX_Hours, ",BelowPovSNAP,BelowPovSNAP_z,INDEX_SNAP,Averagez,INDEXoverall,County,Tract Name,Ranking Overall,Quintile,Commute Time,% Employed,% Below Poverty,Median Hours Worked,% Living in Poverty Receiving SNAP
id,Geographic Area Name,id_Fix,Commutetime,Commutetime_z,INDEX_Commute,Laborforcepart,Laborforcepart_z,"INDEX_Employment, ",Belowpov_act,Belowpov,Belowpov_z,INDEX_poverty,Workedfull,Workedfull_z,"INDEX_Hours, ",BelowPovSNAP,BelowPovSNAP_z,INDEX_SNAP,Averagez,INDEXoverall,County,Tract Name,Ranking Overall,Quintile,Commute Time,% Employed,% Below Poverty,Median Hours Worked,% Living in Poverty Receiving SNAP
1400000US16027020100,"Census Tract 201, Canyon County, Idaho",16027020100,39.59,-0.502079703,4,55.2,-0.476823093,4,27.9,72.1,6.151862387,5,53.7,-0.489823796,4,59.64912281,0.788065542,1,5.471201336,5," Canyon County, Idaho","Census Tract 201, Canyon County, Idaho",36,5,39.59,55.2,27.9,53.7,59.64912281
1400000US16027020200,"Census Tract 202, Canyon County, Idaho",16027020200,39.5967,-0.390506436,4,62.6,0.466154584,2,25,75,6.481643678,5,50.8,-0.958596071,5,43.25842697,-0.142011458,3,5.456684297,5," Canyon County, Idaho","Census Tract 202, Canyon County, Idaho",37,5,39.5967,62.6,25,50.8,43.25842697
1400000US16027020300,"Census Tract 203, Canyon County, Idaho",16027020300,39.55,-1.171519307,5,60.6,0.211295752,3,39.2,60.8,4.866852528,5,54.2,-0.40900099,4,57.20720721,0.649500983,2,4.147128967,5," Canyon County, Idaho","Census Tract 203, Canyon County, Idaho",42,5,39.55,60.6,39.2,54.2,57.20720721
1400000US16027020401,"Census Tract 204.01, Canyon County, Idaho",16027020401,39.5733,-0.781012871,4,71.4,1.587533444,1,18.1,81.9,7.266295716,3,66,1.498417231,1,41.3961039,-0.2476875,4,9.323546021,1," Canyon County, Idaho","Census Tract 204.01, Canyon County, Idaho",4,1,39.5733,71.4,18.1,66,41.3961039
1400000US16027020402,"Census Tract 204.02, Canyon County, Idaho",16027020402,39.65,0.502079703,2,68.4,1.205245196,1,18.3,81.7,7.243552179,4,58.5,0.286075141,2,31.40877598,-0.81441048,5,8.422541739,2," Canyon County, Idaho","Census Tract 204.02, Canyon County, Idaho",17,2,39.65,68.4,18.3,58.5,31.40877598
1400000US16027020501,"Census Tract 205.01, Canyon County, Idaho",16027020501,39.6083,-0.195253218,3,57.2,-0.221964262,4,7.5,92.5,8.471703194,1,57.5,0.124429529,3,22.42990654,-1.323909286,5,6.855005959,4," Canyon County, Idaho","Census Tract 205.01, Canyon County, Idaho",28,4,39.6083,57.2,7.5,57.5,22.42990654
1400000US16027020503,"Census Tract 205.03, Canyon County, Idaho",16027020503,39.645,0.418399752,2,54.8,-0.52779486,4,17.8,82.2,7.300411022,3,58.3,0.253746019,3,43.94618834,-0.102984986,3,7.341776947,3," Canyon County, Idaho","Census Tract 205.03, Canyon County, Idaho",25,3,39.645,54.8,17.8,58.3,43.94618834
1400000US16027020504,"Census Tract 205.04, Canyon County, Idaho",16027020504,39.66,0.669439604,1,69.1,1.294445788,1,39,61,4.889596065,5,51.9,-0.780785898,5,52.3381295,0.373209041,2,6.4459046,4," Canyon County, Idaho","Census Tract 205.04, Canyon County, Idaho",30,4,39.66,69.1,39,51.9,52.3381295
1400000US16027020601,"Census Tract 206.01, Canyon County, Idaho",16027020601,39.6517,0.52997302,2,64.9,0.759242241,1,10.6,89.4,8.119178366,2,57,0.043606723,3,44.57142857,-0.067506227,3,9.384494123,1," Canyon County, Idaho","Census Tract 206.01, Canyon County, Idaho",3,1,39.6517,64.9,10.6,57,44.57142857
1400000US16027020602,"Census Tract 206.02, Canyon County, Idaho",16027020602,39.63,0.167359901,3,64.3,0.682784591,2,19.4,80.6,7.118462724,4,61.4,0.754847416,1,55.23809524,0.537765291,2,9.261219922,1," Canyon County, Idaho","Census Tract 206.02, Canyon County, Idaho",5,1,39.63,64.3,19.4,61.4,55.23809524
1400000US16027020700,"Census Tract 207, Canyon County, Idaho",16027020700,39.6333,0.223146535,3,68.8,1.256216963,1,6.5,93.5,8.585420881,1,64.1,1.191290569,1,9.722222222,-2.044996726,5,9.211078221,1," Canyon County, Idaho","Census Tract 207, Canyon County, Idaho",6,1,39.6333,68.8,6.5,64.1,9.722222222
1400000US16027020901,"Census Tract 209.01, Canyon County, Idaho",16027020901,39.6067,-0.223146535,3,61.7,0.35146811,2,7.2,92.8,8.5058185,1,54.3,-0.392836429,4,3.546099291,-2.39545591,5,5.845847736,4," Canyon County, Idaho","Census Tract 209.01, Canyon County, Idaho",33,4,39.6067,61.7,7.2,54.3,3.546099291
1400000US16027020902,"Census Tract 209.02, Canyon County, Idaho",16027020902,39.56,-1.004159406,5,64.9,0.759242241,1,11.2,88.8,8.050947754,2,62.3,0.900328467,1,33.39731286,-0.701572536,4,8.00478652,3," Canyon County, Idaho","Census Tract 209.02, Canyon County, Idaho",20,3,39.56,64.9,11.2,62.3,33.39731286
1400000US16027021001,"Census Tract 210.01, Canyon County, Idaho",16027021001,39.5583,-1.032052723,5,70.5,1.47284697,1,8.5,91.5,8.357985508,1,58.1,0.221416896,3,37.16216216,-0.487939157,4,8.532257495,2," Canyon County, Idaho","Census Tract 210.01, Canyon County, Idaho",15,2,39.5583,70.5,8.5,58.1,37.16216216
1400000US16027021002,"Census Tract 210.02, Canyon County, Idaho",16027021002,39.5867,-0.557866336,4,62.7,0.478897526,2,13.2,86.8,7.823512381,2,62,0.851834783,1,33.16993464,-0.714474932,4,7.881903421,3," Canyon County, Idaho","Census Tract 210.02, Canyon County, Idaho",22,3,39.5867,62.7,13.2,62,33.16993464
1400000US16027021100,"Census Tract 211, Canyon County, Idaho",16027021100,39.6233,0.055786634,3,67.6,1.103301664,1,9.6,90.4,8.232896053,1,64.2,1.20745513,1,66.11111111,1.154745929,1,11.75418541,1," Canyon County, Idaho","Census Tract 211, Canyon County, Idaho",1,1,39.6233,67.6,9.6,64.2,66.11111111
1400000US16027021200,"Census Tract 212, Canyon County, Idaho",16027021200,39.6183,-0.027893317,3,64.4,0.695527533,1,22.2,77.8,6.800053201,4,60.7,0.641695488,2,51.82370821,0.344018614,2,8.453401518,2," Canyon County, Idaho","Census Tract 212, Canyon County, Idaho",16,2,39.6183,64.4,22.2,60.7,51.82370821
1400000US16027021300,"Census Tract 213, Canyon County, Idaho",16027021300,39.575,-0.753119554,4,48.4,-1.343343122,5,38.2,61.8,4.980570215,5,64.3,1.223619691,1,65.55891239,1.123411852,1,5.231139082,5," Canyon County, Idaho","Census Tract 213, Canyon County, Idaho",38,5,39.575,48.4,38.2,64.3,65.55891239
1400000US16027021500,"Census Tract 215, Canyon County, Idaho",16027021500,39.7,1.338879208,1,63.9,0.631812825,2,27.4,72.6,6.20872123,5,49,-1.249558173,5,58.62068966,0.729707921,2,7.659563011,3," Canyon County, Idaho","Census Tract 215, Canyon County, Idaho",24,3,39.7,63.9,27.4,49,58.62068966
1400000US16027021600,"Census Tract 216, Canyon County, Idaho",16027021600,39.5283,-1.534132425,5,51.8,-0.910083108,5,28,72,6.140490618,5,50.4,-1.023254316,5,75,1.65913886,1,4.33215963,5," Canyon County, Idaho","Census Tract 216, Canyon County, Idaho",41,5,39.5283,51.8,28,50.4,75
1400000US16027021700,"Census Tract 217, Canyon County, Idaho",16027021700,39.6117,-0.139466584,3,61.3,0.300496344,3,18.5,81.5,7.220808641,4,55.6,-0.182697134,4,69.73478939,1.360368672,1,8.559509939,2," Canyon County, Idaho","Census Tract 217, Canyon County, Idaho",14,2,39.6117,61.3,18.5,55.6,69.73478939
1400000US16027021800,"Census Tract 218, Canyon County, Idaho",16027021800,39.5967,-0.390506436,4,57.3,-0.20922132,4,9.1,90.9,8.289754896,1,50.9,-0.94243151,5,80.33472803,1.96185376,1,8.70944939,2," Canyon County, Idaho","Census Tract 218, Canyon County, Idaho",12,2,39.5967,57.3,9.1,50.9,80.33472803
1400000US16027021901,"Census Tract 219.01, Canyon County, Idaho",16027021901,39.48,-2.343038613,5,61.7,0.35146811,2,15.1,84.9,7.607448776,3,59.8,0.496214437,2,37.27598566,-0.481480333,4,5.630612377,5," Canyon County, Idaho","Census Tract 219.01, Canyon County, Idaho",35,5,39.48,61.7,15.1,59.8,37.27598566
1400000US16027021903,"Census Tract 219.03, Canyon County, Idaho",16027021903,39.5367,-1.394665841,5,60,0.134838103,3,9.4,90.6,8.25563959,1,57.2,0.075935846,3,27.91411043,-1.012712497,5,6.0590352,4," Canyon County, Idaho","Census Tract 219.03, Canyon County, Idaho",31,4,39.5367,60,9.4,57.2,27.91411043
