"GEO_ID","NAME","B22003_001E","B22003_001M","B22003_002E","B22003_002M","B22003_003E","B22003_003M","B22003_004E","B22003_004M","B22003_005E","B22003_005M","B22003_006E","B22003_006M","B22003_007E","B22003_007M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Household received Food Stamps/SNAP in the past 12 months","Margin of Error!!Total!!Household received Food Stamps/SNAP in the past 12 months","Estimate!!Total!!Household received Food Stamps/SNAP in the past 12 months!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Household received Food Stamps/SNAP in the past 12 months!!Income in the past 12 months below poverty level","Estimate!!Total!!Household received Food Stamps/SNAP in the past 12 months!!Income in the past 12 months at or above poverty level","Margin of Error!!Total!!Household received Food Stamps/SNAP in the past 12 months!!Income in the past 12 months at or above poverty level","Estimate!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months","Margin of Error!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months","Estimate!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months!!Income in the past 12 months below poverty level","Estimate!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months!!Income in the past 12 months at or above poverty level","Margin of Error!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months!!Income in the past 12 months at or above poverty level"
"1400000US16027020100","Census Tract 201, Canyon County, Idaho","535","59","144","65","99","61","45","29","391","79","81","47","310","74"
"1400000US16027020200","Census Tract 202, Canyon County, Idaho","1370","122","656","134","463","115","193","88","714","136","150","77","564","117"
"1400000US16027020300","Census Tract 203, Canyon County, Idaho","1521","122","320","105","201","91","119","55","1201","146","75","39","1126","150"
"1400000US16027020401","Census Tract 204.01, Canyon County, Idaho","2873","185","657","202","296","148","361","163","2216","217","277","134","1939","244"
"1400000US16027020402","Census Tract 204.02, Canyon County, Idaho","1905","130","265","108","186","100","79","52","1640","143","232","115","1408","146"
"1400000US16027020501","Census Tract 205.01, Canyon County, Idaho","1243","66","162","110","110","102","52","46","1081","116","73","55","1008","116"
"1400000US16027020503","Census Tract 205.03, Canyon County, Idaho","998","93","117","94","81","81","36","36","881","123","63","67","818","115"
"1400000US16027020504","Census Tract 205.04, Canyon County, Idaho","2020","163","734","180","480","173","254","112","1286","204","229","112","1057","197"
"1400000US16027020601","Census Tract 206.01, Canyon County, Idaho","1542","80","231","114","170","109","61","48","1311","126","91","68","1220","143"
"1400000US16027020602","Census Tract 206.02, Canyon County, Idaho","2551","174","466","165","238","128","228","118","2085","223","241","115","1844","222"
"1400000US16027020700","Census Tract 207, Canyon County, Idaho","1183","92","50","47","15","19","35","42","1133","88","67","65","1066","90"
"1400000US16027020901","Census Tract 209.01, Canyon County, Idaho","4071","208","360","155","206","125","154","105","3711","252","210","120","3501","259"
"1400000US16027020902","Census Tract 209.02, Canyon County, Idaho","4365","194","511","206","268","127","243","163","3854","255","156","75","3698","259"
"1400000US16027021001","Census Tract 210.01, Canyon County, Idaho","3827","281","722","210","226","145","496","157","3105","297","279","158","2826","301"
"1400000US16027021002","Census Tract 210.02, Canyon County, Idaho","3150","242","489","150","145","91","344","134","2661","238","175","76","2486","232"
"1400000US16027021100","Census Tract 211, Canyon County, Idaho","4638","306","523","185","160","95","363","173","4115","315","295","176","3820","320"
"1400000US16027021200","Census Tract 212, Canyon County, Idaho","2469","187","868","241","550","152","318","164","1601","199","147","80","1454","190"
"1400000US16027021300","Census Tract 213, Canyon County, Idaho","885","97","405","111","260","104","145","77","480","89","50","46","430","105"
"1400000US16027021500","Census Tract 215, Canyon County, Idaho","1865","159","648","154","415","144","233","79","1217","155","202","90","1015","152"
"1400000US16027021600","Census Tract 216, Canyon County, Idaho","1662","155","393","122","174","86","219","112","1269","161","298","113","971","126"
"1400000US16027021700","Census Tract 217, Canyon County, Idaho","3673","266","547","152","301","132","246","107","3126","300","207","104","2919","297"
"1400000US16027021800","Census Tract 218, Canyon County, Idaho","2073","166","123","62","42","35","81","51","1950","165","142","63","1808","157"
"1400000US16027021901","Census Tract 219.01, Canyon County, Idaho","1684","193","265","86","107","61","158","79","1419","189","72","44","1347","181"
"1400000US16027021903","Census Tract 219.03, Canyon County, Idaho","3213","167","244","133","65","95","179","117","2969","207","187","103","2782","207"
"1400000US16027021904","Census Tract 219.04, Canyon County, Idaho","995","125","218","60","187","56","31","22","777","106","66","35","711","110"
