"GEO_ID","id",
"NAME","Geographic Area Name",
"B22003_001E","Estimate!!Total",
"B22003_001M","Margin of Error!!Total",
"B22003_002E","Estimate!!Total!!Household received Food Stamps/SNAP in the past 12 months",
"B22003_002M","Margin of Error!!Total!!Household received Food Stamps/SNAP in the past 12 months",
"B22003_003E","Estimate!!Total!!Household received Food Stamps/SNAP in the past 12 months!!Income in the past 12 months below poverty level",
"B22003_003M","Margin of Error!!Total!!Household received Food Stamps/SNAP in the past 12 months!!Income in the past 12 months below poverty level",
"B22003_004E","Estimate!!Total!!Household received Food Stamps/SNAP in the past 12 months!!Income in the past 12 months at or above poverty level",
"B22003_004M","Margin of Error!!Total!!Household received Food Stamps/SNAP in the past 12 months!!Income in the past 12 months at or above poverty level",
"B22003_005E","Estimate!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months",
"B22003_005M","Margin of Error!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months",
"B22003_006E","Estimate!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months!!Income in the past 12 months below poverty level",
"B22003_006M","Margin of Error!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months!!Income in the past 12 months below poverty level",
"B22003_007E","Estimate!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months!!Income in the past 12 months at or above poverty level",
"B22003_007M","Margin of Error!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months!!Income in the past 12 months at or above poverty level",
