GEO_ID,id_Fix,NAME,BelowPovSNAP,B22003_001E,B22003_001M,B22003_002E,B22003_002M,B22003_003E,B22003_003M,B22003_004E,B22003_004M,B22003_005E,B22003_005M,B22003_006E,B22003_006M,B22003_007E,B22003_007M
id,id_Fix,Geographic Area Name,BelowPovSNAP,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Household received Food Stamps/SNAP in the past 12 months,Margin of Error!!Total!!Household received Food Stamps/SNAP in the past 12 months,Estimate!!Total!!Household received Food Stamps/SNAP in the past 12 months!!Income in the past 12 months below poverty level,Margin of Error!!Total!!Household received Food Stamps/SNAP in the past 12 months!!Income in the past 12 months below poverty level,Estimate!!Total!!Household received Food Stamps/SNAP in the past 12 months!!Income in the past 12 months at or above poverty level,Margin of Error!!Total!!Household received Food Stamps/SNAP in the past 12 months!!Income in the past 12 months at or above poverty level,Estimate!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months,Margin of Error!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months,Estimate!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months!!Income in the past 12 months below poverty level,Margin of Error!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months!!Income in the past 12 months below poverty level,Estimate!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months!!Income in the past 12 months at or above poverty level,Margin of Error!!Total!!Household did not receive Food Stamps/SNAP in the past 12 months!!Income in the past 12 months at or above poverty level
1400000US16027021700,16027021700,"Census Tract 217, Canyon County, Idaho",69.73478939,3866,186,996,225,447,204,549,210,2870,288,194,154,2676,265
1400000US16027020700,16027020700,"Census Tract 207, Canyon County, Idaho",9.722222222,1351,94,20,23,7,12,13,20,1331,97,65,40,1266,103
1400000US16027022100,16027022100,"Census Tract 221, Canyon County, Idaho",39.66101695,1853,119,226,71,117,54,109,49,1627,121,178,70,1449,139
1400000US16027020200,16027020200,"Census Tract 202, Canyon County, Idaho",43.25842697,1552,136,491,117,154,68,337,122,1061,150,202,92,859,142
1400000US16027021300,16027021300,"Census Tract 213, Canyon County, Idaho",65.55891239,834,82,322,91,217,83,105,50,512,81,114,54,398,74
1400000US16027021800,16027021800,"Census Tract 218, Canyon County, Idaho",80.33472803,2461,164,381,139,192,127,189,72,2080,201,47,26,2033,202
1400000US16027022300,16027022300,"Census Tract 223, Canyon County, Idaho",36.36363636,2157,167,185,116,76,99,109,57,1972,189,133,68,1839,192
1400000US16027022400,16027022400,"Census Tract 224, Canyon County, Idaho",20.13888889,1591,103,115,64,29,30,86,55,1476,124,115,68,1361,136
1400000US16027021901,16027021901,"Census Tract 219.01, Canyon County, Idaho",37.27598566,1855,146,274,88,104,53,170,81,1581,169,175,116,1406,164
