"GEO_ID","NAME","S2303_C01_001E","S2303_C01_001M","S2303_C01_002E","S2303_C01_002M","S2303_C01_003E","S2303_C01_003M","S2303_C01_004E","S2303_C01_004M","S2303_C01_005E","S2303_C01_005M","S2303_C01_006E","S2303_C01_006M","S2303_C01_007E","S2303_C01_007M","S2303_C01_008E","S2303_C01_008M","S2303_C01_009E","S2303_C01_009M","S2303_C01_010E","S2303_C01_010M","S2303_C01_011E","S2303_C01_011M","S2303_C01_012E","S2303_C01_012M","S2303_C01_013E","S2303_C01_013M","S2303_C01_014E","S2303_C01_014M","S2303_C01_015E","S2303_C01_015M","S2303_C01_016E","S2303_C01_016M","S2303_C01_017E","S2303_C01_017M","S2303_C01_018E","S2303_C01_018M","S2303_C01_019E","S2303_C01_019M","S2303_C01_020E","S2303_C01_020M","S2303_C01_021E","S2303_C01_021M","S2303_C02_001E","S2303_C02_001M","S2303_C02_002E","S2303_C02_002M","S2303_C02_003E","S2303_C02_003M","S2303_C02_004E","S2303_C02_004M","S2303_C02_005E","S2303_C02_005M","S2303_C02_006E","S2303_C02_006M","S2303_C02_007E","S2303_C02_007M","S2303_C02_008E","S2303_C02_008M","S2303_C02_009E","S2303_C02_009M","S2303_C02_010E","S2303_C02_010M","S2303_C02_011E","S2303_C02_011M","S2303_C02_012E","S2303_C02_012M","S2303_C02_013E","S2303_C02_013M","S2303_C02_014E","S2303_C02_014M","S2303_C02_015E","S2303_C02_015M","S2303_C02_016E","S2303_C02_016M","S2303_C02_017E","S2303_C02_017M","S2303_C02_018E","S2303_C02_018M","S2303_C02_019E","S2303_C02_019M","S2303_C02_020E","S2303_C02_020M","S2303_C02_021E","S2303_C02_021M","S2303_C03_001E","S2303_C03_001M","S2303_C03_002E","S2303_C03_002M","S2303_C03_003E","S2303_C03_003M","S2303_C03_004E","S2303_C03_004M","S2303_C03_005E","S2303_C03_005M","S2303_C03_006E","S2303_C03_006M","S2303_C03_007E","S2303_C03_007M","S2303_C03_008E","S2303_C03_008M","S2303_C03_009E","S2303_C03_009M","S2303_C03_010E","S2303_C03_010M","S2303_C03_011E","S2303_C03_011M","S2303_C03_012E","S2303_C03_012M","S2303_C03_013E","S2303_C03_013M","S2303_C03_014E","S2303_C03_014M","S2303_C03_015E","S2303_C03_015M","S2303_C03_016E","S2303_C03_016M","S2303_C03_017E","S2303_C03_017M","S2303_C03_018E","S2303_C03_018M","S2303_C03_019E","S2303_C03_019M","S2303_C03_020E","S2303_C03_020M","S2303_C03_021E","S2303_C03_021M"
"id","Geographic Area Name","Total!!Estimate!!Population 16 to 64 years","Total!!Margin of Error!!Population 16 to 64 years","Total!!Estimate!!WEEKS WORKED!!Worked 50 to 52 weeks","Total!!Margin of Error!!WEEKS WORKED!!Worked 50 to 52 weeks","Total!!Estimate!!WEEKS WORKED!!Worked 40 to 49 weeks","Total!!Margin of Error!!WEEKS WORKED!!Worked 40 to 49 weeks","Total!!Estimate!!WEEKS WORKED!!Worked 27 to 39 weeks","Total!!Margin of Error!!WEEKS WORKED!!Worked 27 to 39 weeks","Total!!Estimate!!WEEKS WORKED!!Worked 14 to 26 weeks","Total!!Margin of Error!!WEEKS WORKED!!Worked 14 to 26 weeks","Total!!Estimate!!WEEKS WORKED!!Worked 1 to 13 weeks","Total!!Margin of Error!!WEEKS WORKED!!Worked 1 to 13 weeks","Total!!Estimate!!WEEKS WORKED!!Did not work","Total!!Margin of Error!!WEEKS WORKED!!Did not work","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 or more weeks","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 or more weeks","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 or more weeks","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 or more weeks","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week!!40 or more weeks","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week!!40 or more weeks","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week!!50 to 52 weeks","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week!!50 to 52 weeks","Total!!Estimate!!USUAL HOURS WORKED!!Did not work","Total!!Margin of Error!!USUAL HOURS WORKED!!Did not work","Total!!Estimate!!Mean usual hours worked for workers","Total!!Margin of Error!!Mean usual hours worked for workers","Total!!Estimate!!PERCENT IMPUTED!!Work status in the past 12 months for the population 16 years and over","Total!!Margin of Error!!PERCENT IMPUTED!!Work status in the past 12 months for the population 16 years and over","Total!!Estimate!!PERCENT IMPUTED!!Hours worked per week in the past 12 months for the population 16 years and over","Total!!Margin of Error!!PERCENT IMPUTED!!Hours worked per week in the past 12 months for the population 16 years and over","Total!!Estimate!!PERCENT IMPUTED!!Weeks worked in the past 12 months for the population 16 years and over","Total!!Margin of Error!!PERCENT IMPUTED!!Weeks worked in the past 12 months for the population 16 years and over","Male!!Estimate!!Population 16 to 64 years","Male!!Margin of Error!!Population 16 to 64 years","Male!!Estimate!!WEEKS WORKED!!Worked 50 to 52 weeks","Male!!Margin of Error!!WEEKS WORKED!!Worked 50 to 52 weeks","Male!!Estimate!!WEEKS WORKED!!Worked 40 to 49 weeks","Male!!Margin of Error!!WEEKS WORKED!!Worked 40 to 49 weeks","Male!!Estimate!!WEEKS WORKED!!Worked 27 to 39 weeks","Male!!Margin of Error!!WEEKS WORKED!!Worked 27 to 39 weeks","Male!!Estimate!!WEEKS WORKED!!Worked 14 to 26 weeks","Male!!Margin of Error!!WEEKS WORKED!!Worked 14 to 26 weeks","Male!!Estimate!!WEEKS WORKED!!Worked 1 to 13 weeks","Male!!Margin of Error!!WEEKS WORKED!!Worked 1 to 13 weeks","Male!!Estimate!!WEEKS WORKED!!Did not work","Male!!Margin of Error!!WEEKS WORKED!!Did not work","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 or more weeks","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 or more weeks","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 or more weeks","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 or more weeks","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week!!40 or more weeks","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week!!40 or more weeks","Male!!Estimate!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week!!50 to 52 weeks","Male!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week!!50 to 52 weeks","Male!!Estimate!!USUAL HOURS WORKED!!Did not work","Male!!Margin of Error!!USUAL HOURS WORKED!!Did not work","Male!!Estimate!!Mean usual hours worked for workers","Male!!Margin of Error!!Mean usual hours worked for workers","Male!!Estimate!!PERCENT IMPUTED!!Work status in the past 12 months for the population 16 years and over","Male!!Margin of Error!!PERCENT IMPUTED!!Work status in the past 12 months for the population 16 years and over","Male!!Estimate!!PERCENT IMPUTED!!Hours worked per week in the past 12 months for the population 16 years and over","Male!!Margin of Error!!PERCENT IMPUTED!!Hours worked per week in the past 12 months for the population 16 years and over","Male!!Estimate!!PERCENT IMPUTED!!Weeks worked in the past 12 months for the population 16 years and over","Male!!Margin of Error!!PERCENT IMPUTED!!Weeks worked in the past 12 months for the population 16 years and over","Female!!Estimate!!Population 16 to 64 years","Female!!Margin of Error!!Population 16 to 64 years","Female!!Estimate!!WEEKS WORKED!!Worked 50 to 52 weeks","Female!!Margin of Error!!WEEKS WORKED!!Worked 50 to 52 weeks","Female!!Estimate!!WEEKS WORKED!!Worked 40 to 49 weeks","Female!!Margin of Error!!WEEKS WORKED!!Worked 40 to 49 weeks","Female!!Estimate!!WEEKS WORKED!!Worked 27 to 39 weeks","Female!!Margin of Error!!WEEKS WORKED!!Worked 27 to 39 weeks","Female!!Estimate!!WEEKS WORKED!!Worked 14 to 26 weeks","Female!!Margin of Error!!WEEKS WORKED!!Worked 14 to 26 weeks","Female!!Estimate!!WEEKS WORKED!!Worked 1 to 13 weeks","Female!!Margin of Error!!WEEKS WORKED!!Worked 1 to 13 weeks","Female!!Estimate!!WEEKS WORKED!!Did not work","Female!!Margin of Error!!WEEKS WORKED!!Did not work","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 or more weeks","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 or more weeks","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 or more weeks","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!40 or more weeks","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week!!50 to 52 weeks","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week!!40 or more weeks","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week!!40 or more weeks","Female!!Estimate!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week!!50 to 52 weeks","Female!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 1 to 14 hours per week!!50 to 52 weeks","Female!!Estimate!!USUAL HOURS WORKED!!Did not work","Female!!Margin of Error!!USUAL HOURS WORKED!!Did not work","Female!!Estimate!!Mean usual hours worked for workers","Female!!Margin of Error!!Mean usual hours worked for workers","Female!!Estimate!!PERCENT IMPUTED!!Work status in the past 12 months for the population 16 years and over","Female!!Margin of Error!!PERCENT IMPUTED!!Work status in the past 12 months for the population 16 years and over","Female!!Estimate!!PERCENT IMPUTED!!Hours worked per week in the past 12 months for the population 16 years and over","Female!!Margin of Error!!PERCENT IMPUTED!!Hours worked per week in the past 12 months for the population 16 years and over","Female!!Estimate!!PERCENT IMPUTED!!Weeks worked in the past 12 months for the population 16 years and over","Female!!Margin of Error!!PERCENT IMPUTED!!Weeks worked in the past 12 months for the population 16 years and over"
"1400000US16027020100","Census Tract 201, Canyon County, Idaho","790","149","45.4","10.8","2.8","3.4","2.7","2.0","5.3","5.1","3.4","3.9","40.4","12.4","45.9","10.5","40.6","10.0","38.5","9.6","12.3","6.3","6.7","4.6","6.1","4.4","1.4","1.8","0.9","1.6","0.9","1.6","40.4","12.4","38.3","2.2","10.7","(X)","14.6","(X)","17.2","(X)","375","73","47.2","14.1","0.0","7.7","2.4","2.9","7.2","8.9","5.3","7.9","37.9","14.5","47.5","12.8","39.5","12.8","39.5","12.8","14.7","11.1","7.7","8.4","7.7","8.4","0.0","7.7","0.0","7.7","0.0","7.7","37.9","14.5","41.3","2.0","(X)","(X)","(X)","(X)","(X)","(X)","415","105","43.9","14.4","5.3","6.5","2.9","3.8","3.6","5.8","1.7","1.5","42.7","16.4","44.6","16.2","41.7","15.3","37.6","13.7","10.1","8.2","5.8","5.4","4.6","4.9","2.7","3.5","1.7","3.0","1.7","3.0","42.7","16.4","35.4","3.4","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027020200","Census Tract 202, Canyon County, Idaho","2372","265","31.3","5.5","9.8","4.8","10.6","5.7","6.2","3.9","6.5","3.5","35.6","6.4","40.9","5.6","30.8","5.2","25.8","5.4","21.0","5.6","9.4","4.7","4.6","2.6","2.6","1.6","0.9","1.2","0.9","1.2","35.6","6.4","35.7","2.1","6.2","(X)","11.2","(X)","5.8","(X)","1210","177","32.7","7.8","11.9","5.9","8.6","6.7","5.5","4.8","9.3","6.2","32.0","8.5","49.9","9.5","35.4","7.0","27.2","7.1","16.5","8.1","9.3","5.6","5.5","4.6","1.6","2.0","0.0","2.4","0.0","2.4","32.0","8.5","37.7","2.7","(X)","(X)","(X)","(X)","(X)","(X)","1162","167","29.8","8.2","7.6","6.8","12.7","7.7","7.0","5.2","3.7","3.6","39.3","9.5","31.5","8.7","26.0","8.3","24.4","8.5","25.6","9.0","9.6","7.1","3.6","2.7","3.6","3.2","1.8","2.5","1.8","2.5","39.3","9.5","33.3","3.3","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027020300","Census Tract 203, Canyon County, Idaho","2965","392","53.1","6.5","4.1","2.2","4.3","2.2","4.8","2.6","9.8","3.9","23.9","5.2","53.7","6.1","46.3","6.1","44.3","6.0","17.7","5.6","9.7","3.7","8.0","3.5","4.7","2.9","1.1","1.2","0.8","1.0","23.9","5.2","37.1","2.2","5.7","(X)","8.7","(X)","5.0","(X)","1612","254","51.4","9.3","4.8","2.9","6.3","3.7","4.8","4.0","11.0","5.6","21.7","8.0","57.0","7.8","47.8","8.6","44.4","8.4","17.9","6.5","7.4","4.1","6.6","3.8","3.3","3.6","0.9","1.2","0.4","0.6","21.7","8.0","38.4","2.9","(X)","(X)","(X)","(X)","(X)","(X)","1353","197","55.1","7.3","3.3","3.7","1.9","1.7","4.8","3.8","8.4","4.1","26.5","7.0","49.7","8.5","44.6","7.6","44.1","7.7","17.5","7.0","12.4","6.0","9.6","5.5","6.4","3.7","1.4","2.2","1.4","2.2","26.5","7.0","35.4","2.4","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027020401","Census Tract 204.01, Canyon County, Idaho","5606","514","47.6","5.6","6.5","2.6","4.6","2.3","6.4","2.5","5.8","2.9","29.0","6.2","49.8","5.6","42.2","5.4","37.5","5.1","16.3","4.5","9.6","3.3","7.8","3.0","4.9","3.9","2.3","2.1","2.3","2.1","29.0","6.2","36.6","1.8","5.6","(X)","6.9","(X)","5.6","(X)","2804","324","56.0","7.5","7.3","3.7","4.9","3.6","8.2","4.2","3.1","3.2","20.4","6.3","66.8","8.1","56.9","7.8","50.0","8.1","9.4","4.4","4.7","3.2","4.2","3.1","3.3","3.6","1.7","1.9","1.7","1.9","20.4","6.3","39.9","2.0","(X)","(X)","(X)","(X)","(X)","(X)","2802","296","39.3","8.0","5.7","3.5","4.4","2.9","4.6","2.7","8.4","5.0","37.6","10.4","32.8","7.7","27.6","6.9","24.9","6.7","23.2","7.5","14.6","5.6","11.5","5.2","6.4","4.7","2.9","2.8","2.9","2.8","37.6","10.4","32.3","2.4","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027020402","Census Tract 204.02, Canyon County, Idaho","3372","280","45.7","6.7","5.3","4.4","4.0","2.4","3.5","1.9","11.2","4.1","30.4","6.6","47.6","5.8","40.4","5.8","37.2","5.6","17.1","5.1","9.6","4.4","7.5","4.4","4.9","2.9","1.0","1.0","1.0","1.0","30.4","6.6","35.3","1.8","4.3","(X)","8.2","(X)","7.1","(X)","1783","233","42.2","8.9","4.4","4.6","5.1","3.4","2.3","2.7","12.7","4.8","33.3","8.3","53.2","8.6","41.9","9.3","38.5","8.4","9.9","4.8","4.7","3.8","3.7","3.5","3.6","2.8","0.0","1.7","0.0","1.7","33.3","8.3","38.9","2.3","(X)","(X)","(X)","(X)","(X)","(X)","1589","174","49.7","8.5","6.2","5.4","2.7","3.2","4.8","3.5","9.4","5.8","27.1","8.0","41.3","7.7","38.8","7.4","35.9","7.2","25.2","9.0","15.0","7.1","11.7","6.8","6.4","4.3","2.1","2.1","2.1","2.1","27.1","8.0","31.6","2.1","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027020501","Census Tract 205.01, Canyon County, Idaho","2144","216","59.6","7.6","4.8","2.5","4.8","3.4","2.8","1.8","5.7","3.8","22.3","7.5","61.0","8.0","52.8","7.0","49.3","7.0","14.4","5.3","10.4","4.1","9.1","3.8","2.2","2.1","1.1","1.8","1.1","1.8","22.3","7.5","39.2","1.9","5.4","(X)","12.2","(X)","6.9","(X)","1166","187","61.2","10.8","5.9","4.0","7.4","6.0","0.5","1.2","6.0","5.0","19.0","9.4","72.4","9.3","61.1","9.8","56.0","10.3","8.7","5.0","6.1","4.0","5.2","3.8","0.0","2.5","0.0","2.5","0.0","2.5","19.0","9.4","42.2","2.0","(X)","(X)","(X)","(X)","(X)","(X)","978","133","57.7","9.7","3.4","3.1","1.7","3.3","5.5","3.8","5.3","5.3","26.4","9.8","47.4","11.6","43.0","10.6","41.4","10.3","21.3","8.7","15.5","7.3","13.8","6.7","4.9","4.6","2.5","3.8","2.5","3.8","26.4","9.8","35.1","3.1","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027020503","Census Tract 205.03, Canyon County, Idaho","1642","279","45.9","7.7","5.4","3.4","4.5","3.6","3.3","3.3","9.7","5.8","31.2","8.5","49.7","7.2","44.1","7.7","40.5","8.6","11.9","5.5","6.7","4.4","5.4","3.6","7.2","4.4","0.5","0.9","0.0","1.8","31.2","8.5","38.8","4.8","5.1","(X)","12.5","(X)","11.9","(X)","923","244","54.8","12.4","6.1","5.5","5.4","5.3","5.6","6.5","3.1","3.5","24.9","16.8","61.4","12.5","55.1","11.9","50.5","12.0","10.3","8.2","5.7","6.1","4.3","4.7","3.4","4.0","0.0","3.2","0.0","3.2","24.9","16.8","43.6","5.4","(X)","(X)","(X)","(X)","(X)","(X)","719","119","34.4","10.8","4.6","4.3","3.3","4.9","0.3","1.5","18.1","9.2","39.4","13.3","34.6","10.9","29.9","11.2","27.7","10.7","13.9","7.6","7.9","5.5","6.7","5.1","12.1","8.0","1.1","1.9","0.0","4.1","39.4","13.3","31.1","4.8","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027020504","Census Tract 205.04, Canyon County, Idaho","4058","395","37.5","7.2","8.4","3.1","3.7","2.1","10.1","3.9","9.7","5.0","30.6","7.6","42.4","7.5","31.2","6.3","26.0","6.3","23.8","6.6","13.9","5.5","10.6","5.0","3.2","2.3","0.8","0.9","0.8","0.9","30.6","7.6","35.2","2.3","10.3","(X)","12.4","(X)","11.3","(X)","1880","232","43.9","9.8","10.8","5.6","3.0","2.9","7.9","4.6","9.1","5.5","25.3","8.7","50.8","9.4","40.6","8.9","32.1","9.5","20.7","7.2","13.0","7.0","10.7","6.9","3.2","3.7","1.1","1.6","1.1","1.6","25.3","8.7","37.9","3.5","(X)","(X)","(X)","(X)","(X)","(X)","2178","316","31.9","8.6","6.4","3.8","4.4","2.9","11.9","6.7","10.2","8.8","35.2","11.8","35.2","9.7","23.1","8.0","20.8","6.6","26.4","9.8","14.6","7.0","10.6","6.9","3.2","3.2","0.6","0.8","0.6","0.8","35.2","11.8","32.5","2.3","(X)","(X)","(X)","(X)","(X)","(X)"
"1400000US16027020601","Census Tract 206.01, Canyon County, Idaho","2920","257","56.3","6.7","5.5","3.3","6.6","3.7","3.6","2.5","5.9","2.7","22.1","5.3","56.3","6.1","50.4","6.3","47.0","6.4","16.0","5.4","9.2","4.7","7.7","4.4","5.6","3.1","2.2","2.3","1.6","2.0","22.1","5.3","37.1","1.8","6.3","(X)","5.0","(X)","4.0","(X)","1440","220","60.4","9.7","3.9","3.1","8.1","5.4","4.1","3.8","7.2","3.9","16.3","6.7","68.3","8.6","57.7","9.8","55.0","9.5","10.3","5.7","5.4","4.8","5.4","4.8","5.1","5.5","1.2","1.9","0.0","2.1","16.3","6.7","41.0","2.5","(X)","(X)","(X)","(X)","(X)","(X)","1480","144","52.4","9.6","7.0","5.1","5.2","4.0","3.0","3.4","4.7","4.0","27.6","7.9","44.7","8.9","43.3","8.4","39.2","8.9","21.6","9.7","12.8","7.9","9.9","7.5","6.1","5.3","3.2","3.8","3.2","3.8","27.6","7.9","32.7","2.6","(X)","(X)","(X)","(X)","(X)","(X)"
