"GEO_ID","id",
"NAME","Geographic Area Name",
"S2303_C01_001E","Total!!Estimate!!Population 16 to 64 years",
"S2303_C01_001M","Total!!Margin of Error!!Population 16 to 64 years",
"S2303_C01_002E","Total!!Estimate!!WEEKS WORKED!!Worked 50 to 52 weeks",
"S2303_C01_002M","Total!!Margin of Error!!WEEKS WORKED!!Worked 50 to 52 weeks",
"S2303_C01_003E","Total!!Estimate!!WEEKS WORKED!!Worked 40 to 49 weeks",
"S2303_C01_003M","Total!!Margin of Error!!WEEKS WORKED!!Worked 40 to 49 weeks",
"S2303_C01_004E","Total!!Estimate!!WEEKS WORKED!!Worked 27 to 39 weeks",
"S2303_C01_004M","Total!!Margin of Error!!WEEKS WORKED!!Worked 27 to 39 weeks",
"S2303_C01_005E","Total!!Estimate!!WEEKS WORKED!!Worked 14 to 26 weeks",
"S2303_C01_005M","Total!!Margin of Error!!WEEKS WORKED!!Worked 14 to 26 weeks",
"S2303_C01_006E","Total!!Estimate!!WEEKS WORKED!!Worked 1 to 13 weeks",
"S2303_C01_006M","Total!!Margin of Error!!WEEKS WORKED!!Worked 1 to 13 weeks",
"S2303_C01_007E","Total!!Estimate!!WEEKS WORKED!!Did not work",
"S2303_C01_007M","Total!!Margin of Error!!WEEKS WORKED!!Did not work",
"S2303_C01_008E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week",
"S2303_C01_008M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week",
"S2303_C01_009E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 or more weeks",
"S2303_C01_009M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!40 or more weeks",
"S2303_C01_010E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks",
"S2303_C01_010M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 35 or more hours per week!!50 to 52 weeks",
"S2303_C01_011E","Total!!Estimate!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week",
"S2303_C01_011M","Total!!Margin of Error!!USUAL HOURS WORKED!!Usually worked 15 to 34 hours per week",
